timestamp,x,y,z,w
1508970044604596,0.522705,-0.262573,0.696899,0.414856
1508970044620637,0.521606,-0.264221,0.696594,0.415649
1508970044641723,0.519958,-0.266296,0.696106,0.417297
1508970044667013,0.517578,-0.26947,0.695068,0.419861
1508970044687537,0.514648,-0.273132,0.69397,0.422913
1508970044702632,0.511597,-0.276306,0.693298,0.425659
1508970044725693,0.508606,-0.278503,0.693176,0.427917
1508970044756157,0.50592,-0.27948,0.692993,0.430847
1508970044765199,0.504578,-0.280212,0.690613,0.43573
1508970044778201,0.50177,-0.286377,0.684937,0.443848
1508970044801141,0.487366,-0.301758,0.681213,0.455261
1508970044822474,0.465637,-0.32019,0.679138,0.468384
1508970044838393,0.442688,-0.33374,0.68103,0.478271
1508970044891610,0.420471,-0.342896,0.689026,0.480347
1508970044892585,0.408447,-0.343384,0.706238,0.465149
1508970044899604,0.398376,-0.325256,0.730347,0.449463
1508970044919743,0.382629,-0.307861,0.755371,0.433716
1508970044942866,0.366272,-0.290771,0.777161,0.421021
1508970044966785,0.328247,-0.302002,0.7901,0.42041
1508970044988107,0.280579,-0.328857,0.794128,0.427124
1508970045004118,0.234375,-0.353394,0.795532,0.432739
1508970045026229,0.186768,-0.366333,0.808472,0.421021
1508970045047459,0.153259,-0.357727,0.827332,0.405029
1508970045064402,0.125488,-0.33844,0.847473,0.389099
1508970045086419,0.0950928,-0.319641,0.866211,0.372009
1508970045107504,0.0614014,-0.301392,0.883118,0.354187
1508970045123669,0.0220337,-0.287048,0.896118,0.337708
1508970045146580,-0.0203247,-0.276306,0.905029,0.322632
1508970045167734,-0.062561,-0.263367,0.912292,0.307251
1508970045183981,-0.103149,-0.245911,0.918579,0.291626
1508970045206183,-0.141724,-0.225098,0.923706,0.275635
1508970045227438,-0.178101,-0.201965,0.927979,0.257507
1508970045243689,-0.212646,-0.175842,0.931152,0.238403
1508970045266602,-0.244568,-0.147583,0.933167,0.218079
1508970045287807,-0.271851,-0.11792,0.93457,0.196655
1508970045303847,-0.292114,-0.0886841,0.936157,0.174255
1508970045326908,-0.306396,-0.0625,0.937866,0.150391
1508970045347325,-0.31543,-0.0385132,0.939636,0.12677
1508970045364233,-0.321228,-0.0166016,0.941101,0.104126
1508970045392449,-0.324219,0.0012207,0.942139,0.085144
1508970045407486,-0.323364,0.0140381,0.943481,0.0709229
1508970045424392,-0.318665,0.0215454,0.945679,0.0599365
1508970045446456,-0.313354,0.027832,0.947815,0.0510864
1508970045467738,-0.309021,0.0300293,0.949463,0.0455933
1508970045484992,-0.306396,0.02948,0.950439,0.043335
1508970045506090,-0.305359,0.0283813,0.950806,0.0427246
1508970045527375,-0.305908,0.0268555,0.950684,0.0431519
1508970045543272,-0.307495,0.0239868,0.950195,0.0447388
1508970045566333,-0.309448,0.0193481,0.949524,0.0473022
1508970045589420,-0.310608,0.0145264,0.949097,0.0504761
1508970045603432,-0.310852,0.010376,0.948914,0.0531006
1508970045626522,-0.311096,0.00799561,0.94873,0.0548096
1508970045648550,-0.310974,0.0057373,0.948669,0.0564575
1508970045663590,-0.311218,0.00354004,0.948547,0.0577393
1508970045686691,-0.312622,0.00158691,0.947998,0.0596313
1508970045708711,-0.314697,-0.000488281,0.947144,0.0617065
1508970045722762,-0.3172,-0.00164795,0.946228,0.0633545
1508970045746812,-0.319519,-0.00262451,0.945313,0.0652466
1508970045768871,-0.321716,-0.00476074,0.944275,0.0690308
1508970045789926,-0.32428,-0.00830078,0.942993,0.074585
1508970045805974,-0.327332,-0.0126343,0.941223,0.0821533
1508970045836051,-0.330139,-0.0195923,0.939148,0.0924072
1508970045857105,-0.330811,-0.031189,0.937256,0.10553
1508970045872146,-0.329834,-0.0446167,0.935303,0.119751
1508970045889192,-0.325562,-0.0599365,0.933899,0.134888
1508970045911279,-0.316101,-0.0783081,0.933472,0.150085
1508970045950391,-0.299561,-0.0996704,0.93457,0.163696
1508970045956370,-0.275452,-0.124207,0.937195,0.174194
1508970045971637,-0.245728,-0.151794,0.939819,0.182312
1508970045992734,-0.216797,-0.180359,0.940369,0.190002
1508970046008754,-0.190857,-0.207642,0.93811,0.200867
1508970046031928,-0.163513,-0.23468,0.934265,0.21283
1508970046053983,-0.134399,-0.263489,0.928772,0.223389
1508970046068024,-0.104187,-0.295166,0.920532,0.233521
1508970046099132,-0.0709839,-0.325623,0.9104,0.245056
1508970046114147,-0.0349731,-0.35022,0.899902,0.257324
1508970046128184,0.00482178,-0.366089,0.891174,0.267761
1508970046151347,0.0461426,-0.373596,0.883972,0.277222
1508970046175410,0.0853271,-0.374756,0.877136,0.287781
1508970046188538,0.118469,-0.372742,0.869263,0.302124
