timestamp,x,y,z
1508970617258505,0.817383,-0.283691,0.538574
1508970617274545,0.813965,-0.267578,0.536621
1508970617296496,0.808594,-0.250977,0.523926
1508970617320085,0.824219,-0.237305,0.505371
1508970617335127,0.866699,-0.185059,0.469727
1508970617356218,0.90332,-0.14502,0.433594
1508970617380246,0.969238,-0.10498,0.396484
1508970617426640,0.98584,-0.135254,0.42041
1508970617428617,0.96582,-0.281738,0.478516
1508970617440678,0.932617,-0.449707,0.552246
1508970617454686,0.919434,-0.513672,0.581543
1508970617476743,0.889648,-0.516602,0.666016
1508970617528909,0.856445,-0.47998,0.70752
1508970617538938,0.75293,-0.446289,0.723145
1508970617539920,0.610352,-0.507324,0.759277
1508970617558975,0.459473,-0.644531,0.875
1508970617573014,0.285645,-0.67627,0.816406
1508970617596060,0.198242,-0.708984,0.839355
1508970617618119,0.121094,-0.708496,0.85498
1508970617633160,0.0727539,-0.706055,0.820801
1508970617656222,0.019043,-0.693848,0.79248
1508970617678316,-0.0537109,-0.677734,0.779297
1508970617701377,-0.105957,-0.686523,0.750488
1508970617716510,-0.142578,-0.70459,0.780273
1508970617738642,-0.163086,-0.703125,0.757324
1508970617761646,-0.133301,-0.685547,0.693848
1508970617775934,-0.164063,-0.528809,0.692871
1508970617799051,-0.166016,-0.450195,0.754883
1508970617821169,-0.116211,-0.541504,0.750488
1508970617836191,-0.23291,-0.605469,0.788574
1508970617858282,-0.26123,-0.504395,0.802246
1508970617881457,-0.244629,-0.523438,0.773926
1508970617896477,-0.325195,-0.518066,0.772949
1508970617918409,-0.34375,-0.523926,0.76123
1508970617941473,-0.350586,-0.555176,0.780762
1508970617956761,-0.48877,-0.535645,0.800293
1508970617978930,-0.515625,-0.498535,0.75
1508970618000872,-0.591797,-0.443848,0.755859
1508970618016021,-0.527832,-0.476563,0.772949
1508970618039078,-0.563477,-0.474609,0.775391
1508970618061329,-0.574707,-0.481934,0.766113
1508970618083627,-0.529785,-0.453125,0.67627
1508970618098649,-0.548828,-0.441406,0.638184
1508970618121627,-0.544434,-0.435059,0.60498
1508970618136014,-0.583984,-0.445313,0.583984
1508970618159113,-0.616699,-0.419434,0.511719
1508970618181163,-0.597168,-0.423828,0.539063
1508970618196201,-0.646484,-0.38623,0.540039
1508970618218231,-0.701172,-0.339355,0.555664
1508970618241293,-0.664551,-0.317871,0.566406
1508970618256332,-0.646484,-0.348145,0.64209
1508970618278528,-0.648926,-0.405762,0.700195
1508970618300587,-0.700195,-0.415039,0.700195
1508970618315628,-0.725586,-0.431152,0.6875
1508970618338727,-0.762695,-0.429199,0.680176
1508970618362718,-0.745117,-0.450195,0.683594
1508970618375958,-0.740723,-0.443848,0.678711
1508970618399040,-0.736328,-0.421387,0.663086
1508970618421332,-0.725098,-0.418945,0.652344
1508970618436543,-0.716797,-0.418457,0.662109
1508970618458842,-0.677246,-0.425781,0.668945
1508970618481327,-0.681152,-0.427246,0.653809
1508970618496621,-0.66748,-0.409668,0.638184
1508970618518586,-0.662109,-0.433594,0.632813
1508970618541614,-0.685547,-0.432129,0.63623
1508970618559665,-0.665527,-0.4375,0.639648
1508970618579128,-0.675781,-0.439941,0.63623
1508970618601320,-0.665527,-0.426758,0.623047
1508970618619228,-0.650879,-0.453613,0.644043
1508970618638596,-0.646484,-0.444824,0.66748
1508970618661609,-0.663086,-0.422852,0.656738
1508970618678594,-0.681152,-0.421387,0.633789
1508970618699811,-0.643066,-0.436523,0.659668
1508970618728916,-0.638184,-0.457031,0.674805
1508970618738910,-0.62207,-0.444824,0.669922
1508970618759965,-0.595703,-0.446777,0.665527
1508970618781167,-0.586914,-0.433105,0.64502
1508970618803348,-0.541504,-0.453125,0.657227
1508970618820332,-0.482422,-0.462891,0.652832
1508970618841489,-0.503906,-0.495605,0.658203
1508970618863683,-0.449707,-0.484863,0.631836
1508970618879597,-0.402344,-0.509766,0.675781
1508970618900684,-0.371094,-0.523926,0.706543
