timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508970558799925,-3,3,0,3,-12,-8,0,0
1508970558799925,2,2,3,-4,6,2,-1,0
1508970558806964,-1,-4,-2,0,0,-1,-1,-1
1508970558806964,-4,-8,0,4,2,1,-1,-2
1508970558809025,3,-1,-1,-5,12,0,-1,-1
1508970558809025,-3,1,-3,-5,-6,4,-2,-3
1508970558810023,1,3,2,1,-15,0,3,2
1508970558810023,17,12,0,-2,4,0,0,2
1508970558812963,-32,-19,-2,-4,6,0,-2,-5
1508970558812963,-9,-14,-2,-1,-9,-10,-4,-2
1508970558827052,1,-3,-1,6,20,2,-2,-2
1508970558827052,1,2,0,-12,-14,-2,2,2
1508970558838024,11,13,3,10,-18,-5,-1,2
1508970558838024,3,13,4,8,6,3,4,0
1508970558842055,-8,-35,-4,-10,-3,-5,-5,-5
1508970558842055,-3,-4,-5,-2,-15,-4,-3,-1
1508970558857198,0,0,-6,-5,48,7,-2,-3
1508970558857198,2,-1,-2,-1,-21,-1,0,0
1508970558873355,1,6,3,-3,-11,-8,-1,2
1508970558873355,-2,-2,-4,11,24,-1,-2,-1
1508970558874215,1,-6,0,-17,-31,-2,-4,-2
1508970558874215,1,-2,-3,13,6,1,0,-1
1508970558920578,0,1,1,-5,-21,12,-1,0
1508970558920578,-4,2,6,19,21,8,3,-2
1508970558921580,-13,2,2,6,-2,-4,-1,1
1508970558921580,-7,-4,-4,-11,27,-1,-2,-3
1508970558924589,0,-7,-3,-4,-26,-12,-4,-3
1508970558924589,-1,-5,-6,-6,-8,-5,-2,0
1508970558925593,8,2,-3,-9,-24,0,0,-1
1508970558925593,-2,2,3,4,1,-1,2,2
1508970558932610,-5,2,5,22,47,2,-1,-2
1508970558932610,3,2,0,1,-25,4,3,0
1508970558938631,-2,-4,-4,-1,29,3,-1,-4
1508970558938631,1,-4,-5,-19,-41,-7,-4,-1
1508970558955672,1,5,-3,-3,-4,1,0,0
1508970558955672,-1,-2,-1,-15,-19,-10,-3,0
1508970558961887,0,-2,-5,0,24,-6,-4,-2
1508970558961887,0,4,11,14,-8,14,4,-1
1508970558977929,6,4,3,0,-3,-1,2,3
1508970558977929,-7,-10,-3,35,30,1,-1,0
1508970558993115,15,5,-2,-18,7,-3,-1,6
1508970558993115,-14,-7,-4,-3,6,-3,-4,-6
1508970558993973,-12,-6,3,-18,-45,-11,-3,-5
1508970558993973,2,3,-4,0,-7,0,-3,1
1508970559007039,3,1,4,-15,13,0,-2,1
1508970559007039,7,7,4,21,-27,-3,4,5
1508970559015156,1,-3,-2,30,116,22,4,-2
1508970559015156,-4,-5,0,-15,-69,-17,-6,-3
1508970559038243,-4,0,-18,-5,-36,-6,-4,-2
1508970559038243,4,-3,-1,-18,16,0,-4,0
1508970559039092,0,4,27,0,-11,-6,0,-1
1508970559039092,0,-6,-19,7,9,8,1,-1
1508970559053146,3,5,-9,-7,13,4,6,2
1508970559053146,1,2,27,38,-5,-1,-3,-1
1508970559054128,-5,-18,-34,-61,-29,-12,-8,-2
1508970559054128,-3,2,9,4,21,3,0,2
1508970559066306,-2,-4,1,1,-17,-7,-4,0
1508970559066306,5,8,-31,20,22,9,7,0
1508970559075189,1,2,7,-19,-23,-18,-9,-2
1508970559075189,-3,-1,29,-28,-46,-4,-1,-4
1508970559090370,0,-2,-79,53,68,21,7,3
1508970559090370,-11,-18,78,-63,-81,-22,-13,-9
1508970559092233,10,14,-21,31,17,10,9,8
1508970559092233,4,4,-45,3,65,4,-6,1
1508970559120540,-7,-5,58,22,-41,-11,-3,-5
1508970559120540,0,-4,-113,-4,33,8,-12,-3
1508970559121505,-10,-8,63,-43,-37,-11,6,-5
1508970559121505,2,8,-31,0,-18,-3,-2,-4
1508970559126557,4,3,-24,4,10,9,10,5
1508970559126557,5,-2,-17,5,24,-6,9,4
1508970559135540,-3,2,-12,22,-30,-9,-46,-9
1508970559135540,6,-3,-53,-18,34,22,22,5
1508970559150622,-1,1,59,-5,-34,-11,-5,-4
1508970559150622,-11,-7,20,-38,-20,-10,-20,-11
1508970559151586,7,11,-47,32,25,3,17,9
1508970559151586,3,-4,1,27,14,15,11,4
1508970559172674,-1,-2,-24,-23,-19,-10,-3,0
1508970559172674,-4,-1,60,6,-1,12,-1,-2
1508970559174677,-8,-15,70,-27,-13,-18,-2,-7
1508970559174677,0,11,-1,42,13,-36,-5,-2
1508970559186699,0,5,-10,-44,-13,65,-2,-1
1508970559186699,0,-2,58,7,6,-27,11,5
1508970559202718,-2,-19,40,2,1,-1,-16,-6
1508970559202718,4,3,-49,1,5,31,15,8
1508970559210763,-4,8,80,6,-10,-92,50,4
1508970559210763,6,4,-12,17,34,46,11,3
1508970559211761,0,0,-33,-23,-9,16,-40,-6
1508970559211761,5,1,17,-4,-3,-22,11,8
1508970559233053,-9,-17,-20,8,-3,34,-53,-15
1508970559233053,4,7,-64,1,18,4,9,6
1508970559233930,-7,-7,9,8,-10,-17,9,-5
1508970559233930,-5,0,29,-20,-4,-53,-20,-5
1508970559246967,2,-2,-54,9,12,39,3,2
1508970559246967,-1,1,59,26,-14,-7,-10,-5
1508970559262978,9,14,-3,27,25,40,29,12
1508970559262978,-3,-7,-29,-60,-31,-48,-10,-4
1508970559272217,-5,-11,-4,17,10,4,2,-3
1508970559272217,-6,-19,-9,-7,-5,-19,-6,-2
1508970559273223,16,17,-11,28,18,0,26,3
1508970559273223,-14,1,-32,-58,-31,-2,-11,-7
1508970559293296,-8,-7,0,-15,-5,63,-47,-15
1508970559293296,6,1,-46,-1,1,-18,-4,2
1508970559294275,4,12,32,36,28,8,10,7
1508970559294275,-4,-8,12,14,-3,31,-2,-5
1508970559306351,-1,2,39,-5,0,-69,-4,3
1508970559306351,6,11,-27,-16,5,54,16,2
1508970559315333,-25,-21,0,-5,-12,-12,-15,-14
1508970559315333,15,14,-2,44,5,25,5,8
1508970559330415,-4,-13,28,0,-3,-27,15,-1
1508970559330415,1,5,-14,0,-2,-16,-5,2
1508970559331373,4,-7,-51,-33,-20,-36,13,5
1508970559331373,-2,6,29,81,57,65,-2,-4
1508970559352434,4,-10,-38,-83,-21,-52,11,7
1508970559352434,-2,7,12,7,-8,4,32,2
