timestamp,x,y,z
1508970537444454,2.375,1.125,5.9375
1508970537468521,2.75,6.5,14.8125
1508970537484285,2,13.1875,27.625
1508970537504337,-1.8125,17.1875,39
1508970537528401,-7.875,25.75,48.4375
1508970537543468,-21,38.3125,47.1875
1508970537594591,-42.6875,47.125,43
1508970537611674,-58.375,55.5,43.1875
1508970537619619,-55.875,65.0625,47.0625
1508970537625759,-43.5625,71.375,56.1875
1508970537648864,-27.125,82,63.625
1508970537662893,-28.25,91.3125,72.8125
1508970537717314,-44.9375,90.75,72.8125
1508970537717314,-62.5625,84.1875,75.3125
1508970537724258,-72.375,92.25,80
1508970537752533,-53.0625,98.5625,85.8125
1508970537767609,-29.4375,86.5625,99
1508970537791635,-38.125,77.6875,107.75
1508970537805760,-40.8125,80.8125,114.063
1508970537828817,-27.0625,77.8125,130.813
1508970537850903,-5.1875,72.625,144.438
1508970537871954,13.5,72.1875,146
1508970537888975,29.6875,83.375,156.063
1508970537919058,45.125,97.1875,148.688
1508970537932322,43.25,110.375,136.625
1508970537949292,38.0625,119.25,129.563
1508970537978415,46,126.875,124.188
1508970538000434,34.375,131.438,118.125
1508970538008458,31,124.25,118.25
1508970538031495,18.3125,117.313,115.875
1508970538052666,12.75,116.125,110.438
1508970538068945,21.875,116.5,104.188
1508970538091235,32.375,111.438,95
1508970538112433,26.5625,116.625,96.625
1508970538128469,22.875,119.25,101.813
1508970538151615,14.625,100.625,97.875
1508970538172707,8.8125,85.8125,91.6875
1508970538188711,-9.1875,82.6875,86.125
1508970538210776,-25.9375,67.4375,80.0625
1508970538231824,-30.25,53.125,63.4375
1508970538248899,-30.0625,46.3125,50.1875
1508970538270952,-32.0625,39,33.375
1508970538292045,-41.75,25.5625,13.75
1508970538309030,-38.75,13.5625,-3.75
1508970538331209,-37.8125,2.0625,-12.25
1508970538352545,-30.1875,-8.25,-15.5
1508970538368813,-29.8125,-17.125,-21.3125
1508970538390961,-19,-21,-21.3125
1508970538412167,-10.875,-27.8125,-17.6875
1508970538429062,-2.0625,-31.5,-13.5
1508970538451124,6.3125,-22.1875,-10.375
1508970538472317,13.375,-14.6875,-3.8125
1508970538488243,12.9375,-10.625,3.75
1508970538511402,6.75,-8.875,4.1875
1508970538532636,3.125,-3.3125,6.25
1508970538548577,6.4375,2.1875,5.9375
1508970538571588,5.3125,4.75,7.6875
1508970538593623,3.25,3.0625,6.25
1508970538608660,2.125,-1.375,4
1508970538631744,4.625,-0.75,2.5
1508970538653899,4.1875,0,-0.0625
1508970538668936,-1.4375,-3.625,-3.1875
1508970538697256,1.1875,-5.3125,-5.9375
1508970538720392,0.8125,-1.3125,-6.25
1508970538736438,4.0625,2.9375,-2.8125
1508970538757621,1.5,1.0625,0.1875
1508970538773726,-1,0.3125,-2.9375
1508970538795952,0,2.625,-3.25
1508970538817879,7.1875,2.875,-3.75
1508970538833890,6.1875,1,-4.75
1508970538855997,3.0625,-3.1875,-6.1875
1508970538877151,1.375,-8.1875,-9.375
1508970538894079,3.375,-10.625,-15.6875
1508970538916124,7.125,-12.3125,-25.625
1508970538937168,11.5625,-16,-37.4375
1508970538954238,18.5,-24.75,-53.5625
1508970538976272,17,-35.8125,-71.0625
1508970538997459,11.875,-46.375,-84.1875
1508970539013363,7.25,-51.25,-96.5
1508970539035876,7.1875,-61.125,-105.375
1508970539058900,15.1875,-74.625,-111.813
1508970539073168,19,-92.9375,-115.813
1508970539096265,11.75,-107.375,-122.188
1508970539118292,2.5,-107.063,-128.75
1508970539141350,5.3125,-106.5,-135.875
1508970539156390,11.3125,-106.563,-141.5
1508970539178448,-4.5,-112.813,-149.188
1508970539193487,-21.625,-114.938,-143.813
1508970539223596,-15.5,-120.125,-130
1508970539238642,8.25,-117.75,-116.938
1508970539253647,17.1875,-115.125,-109.563
1508970539282724,17,-115.563,-114.688
1508970539305816,17.8125,-105.938,-113.313
1508970539319824,33.875,-106.688,-106.25
1508970539336868,73.3125,-105,-89.3125
1508970539365969,56.125,-108.938,-82.5
1508970539387002,21.5625,-115.25,-88.375
1508970539396026,7.375,-102.938,-94.5625
1508970539419089,7.125,-81.125,-82.4375
1508970539440320,4.8125,-75.3125,-71.0625
1508970539456310,7.75,-77.9375,-72.0625
1508970539478474,14.6875,-70.3125,-79.375
1508970539499650,21.4375,-66.0625,-78.8125
1508970539516668,22.0625,-69.625,-71.375
1508970539538731,19.5,-79.625,-81.5625
1508970539559785,1.625,-97.875,-99.625
1508970539575828,-24.0625,-112.063,-114.813
1508970539598909,-34.125,-106.5,-128.125
1508970539620103,-30.6875,-81,-135.938
1508970539636176,-36.5625,-61.5625,-127.375
1508970539658241,-58.375,-39.3125,-99.625
1508970539679633,-15.3125,0.75,-43.25
1508970539695895,-2.125,16.4375,17.8125
1508970539718801,42.125,-7.75,12.1875
1508970539740221,42.3125,-5.3125,-0.9375
1508970539756153,15.5,-0.75,12.6875
1508970539779213,13.1875,-0.4375,14.25
1508970539800397,-0.0625,0.875,12
1508970539816429,-1.4375,-1.6875,9.5
1508970539838492,6.75,-5.375,11.1875
1508970539859666,9.625,-4.5625,14.625
1508970539875912,4.4375,-4.4375,13.6875
