timestamp,x,y,z,w
1508970537444454,0.434998,-0.172852,0.883606,0.0106201
1508970537468521,0.434998,-0.172607,0.883667,0.00909424
1508970537484285,0.433655,-0.173218,0.884216,0.00592041
1508970537504337,0.431152,-0.175659,0.884949,0.0012207
1508970537528401,0.427124,-0.179565,0.886108,-0.00415039
1508970537543468,0.421143,-0.185791,0.887695,-0.00811768
1508970537594591,0.413513,-0.195313,0.889221,-0.00976563
1508970537611674,0.40448,-0.20752,0.890625,-0.0100708
1508970537619619,0.393433,-0.220215,0.892517,-0.0112305
1508970537625759,0.380737,-0.231689,0.89502,-0.0143433
1508970537648864,0.365784,-0.240845,0.898743,-0.0192871
1508970537662893,0.348328,-0.250244,0.902954,-0.0251465
1508970537717314,0.33075,-0.262024,0.906128,-0.0299683
1508970537717314,0.313538,-0.276855,0.907654,-0.034668
1508970537724258,0.294861,-0.293823,0.908386,-0.0393066
1508970537752533,0.274048,-0.308472,0.909729,-0.0458374
1508970537767609,0.253357,-0.319397,0.911377,-0.0563965
1508970537791635,0.234802,-0.331055,0.911377,-0.067749
1508970537805760,0.215088,-0.343201,0.910767,-0.079834
1508970537828817,0.194336,-0.353577,0.909973,-0.0952759
1508970537850903,0.173035,-0.360474,0.909485,-0.113892
1508970537871954,0.151245,-0.363953,0.909302,-0.13324
1508970537888975,0.12677,-0.365112,0.909363,-0.153625
1508970537919058,0.100037,-0.363464,0.910034,-0.17218
1508970537932322,0.0722046,-0.362122,0.910156,-0.187683
1508970537949292,0.043396,-0.361328,0.909424,-0.201233
1508970537978415,0.0137329,-0.35907,0.908508,-0.213257
1508970538000434,-0.0158081,-0.358643,0.906128,-0.223694
1508970538008458,-0.0440674,-0.35791,0.902771,-0.234497
1508970538031495,-0.0705566,-0.358765,0.897888,-0.245178
1508970538052666,-0.0960693,-0.360168,0.892212,-0.254944
1508970538068945,-0.12146,-0.360046,0.886719,-0.263306
1508970538091235,-0.145935,-0.35791,0.881775,-0.270203
1508970538112433,-0.170898,-0.356689,0.875732,-0.276917
1508970538128469,-0.196228,-0.355713,0.868408,-0.284241
1508970538151615,-0.218018,-0.355164,0.860779,-0.292114
1508970538172707,-0.235962,-0.354614,0.853577,-0.299866
1508970538188711,-0.250549,-0.357117,0.845825,-0.307068
1508970538210776,-0.262695,-0.361511,0.83728,-0.315125
1508970538231824,-0.270203,-0.366821,0.8302,-0.321289
1508970538248899,-0.276062,-0.37262,0.823914,-0.325806
1508970538270952,-0.280273,-0.378723,0.818542,-0.328674
1508970538292045,-0.280945,-0.386169,0.814148,-0.3302
1508970538309030,-0.280151,-0.392639,0.811218,-0.330627
1508970538331209,-0.277344,-0.398376,0.809326,-0.330688
1508970538352545,-0.274292,-0.402039,0.80835,-0.331238
1508970538368813,-0.269714,-0.404907,0.808228,-0.331787
1508970538390961,-0.265381,-0.405823,0.809021,-0.332275
1508970538412167,-0.260864,-0.405457,0.810303,-0.33313
1508970538429062,-0.255737,-0.403442,0.8125,-0.334106
1508970538451124,-0.252014,-0.401184,0.814819,-0.334106
1508970538472317,-0.250244,-0.398254,0.816772,-0.334045
1508970538488243,-0.249695,-0.395569,0.817993,-0.334778
1508970538511402,-0.24884,-0.393921,0.818726,-0.335632
1508970538532636,-0.248352,-0.392944,0.81897,-0.336426
1508970538548577,-0.248962,-0.392029,0.819153,-0.33667
1508970538571588,-0.250305,-0.391357,0.818909,-0.337097
1508970538593623,-0.251587,-0.390747,0.818542,-0.337708
1508970538608660,-0.251892,-0.389954,0.818542,-0.338379
1508970538631744,-0.252014,-0.388977,0.818848,-0.338623
1508970538653899,-0.252502,-0.388245,0.819092,-0.338501
1508970538668936,-0.252014,-0.388184,0.819275,-0.338562
1508970538697256,-0.250977,-0.388,0.819885,-0.338013
1508970538720392,-0.250244,-0.388184,0.820435,-0.337036
1508970538736438,-0.250732,-0.388062,0.820679,-0.336243
1508970538757621,-0.251343,-0.387756,0.820618,-0.336304
1508970538773726,-0.251282,-0.387939,0.820679,-0.335999
1508970538795952,-0.251221,-0.388123,0.820862,-0.335327
1508970538817879,-0.25177,-0.387268,0.821472,-0.33429
1508970538833890,-0.251953,-0.386353,0.822266,-0.333435
1508970538855997,-0.251343,-0.385803,0.822937,-0.332703
1508970538877151,-0.249268,-0.385254,0.824219,-0.331909
1508970538894079,-0.246399,-0.384583,0.82605,-0.330139
1508970538916124,-0.242371,-0.383423,0.829102,-0.326904
1508970538937168,-0.237122,-0.381897,0.833252,-0.321899
1508970538954238,-0.230042,-0.379517,0.838989,-0.31488
1508970538976272,-0.220215,-0.377441,0.845825,-0.306091
1508970538997459,-0.20752,-0.376404,0.853027,-0.295898
1508970539013363,-0.192993,-0.376587,0.860352,-0.284119
1508970539035876,-0.177246,-0.376038,0.867859,-0.271973
1508970539058900,-0.15918,-0.373657,0.876221,-0.259338
1508970539073168,-0.138367,-0.36969,0.884949,-0.247131
1508970539096265,-0.11438,-0.366211,0.893127,-0.234741
