timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508970800981042,3,-3,1,3,-11,3,4,5
1508970800981042,6,20,8,4,12,5,-6,-3
1508970800982081,-3,-15,-4,0,-11,-8,0,-1
1508970800982081,0,-6,0,-3,23,14,0,-1
1508970800982081,-1,16,-8,-7,-19,-9,-4,0
1508970800982081,1,3,3,11,-20,-7,3,3
1508970800985089,2,-6,2,5,14,6,1,1
1508970800985089,1,60,12,-13,0,-5,1,0
1508970800993219,-11,-36,-11,7,22,0,-5,-6
1508970800993219,2,-5,-18,-25,48,5,3,4
1508970801001110,-7,1,-2,-1,-99,7,-7,-7
1508970801001110,5,2,7,20,2,-8,5,4
1508970801007138,6,18,10,-7,8,-8,0,1
1508970801007138,-2,-15,-2,1,57,10,1,3
1508970801022322,-5,-12,-13,-25,-27,-25,-1,-2
1508970801022322,-1,-13,4,9,-27,20,-2,-3
1508970801031349,1,3,13,30,25,8,1,2
1508970801031349,2,-5,-8,-4,26,2,14,7
1508970801046515,-1,8,-5,-9,3,-10,-20,-14
1508970801046515,-3,-18,-4,-9,-16,-9,-4,-1
1508970801053408,-6,-5,-8,-17,-49,27,-1,-6
1508970801053408,6,10,15,15,16,1,11,10
1508970801067682,0,1,-1,-12,-25,-19,-8,-2
1508970801067682,0,0,-2,2,67,19,-1,-2
1508970801108794,-1,-2,-5,-13,-22,15,-7,-2
1508970801108794,-3,-3,-2,-13,10,-4,-15,-4
1508970801109793,-2,-1,-5,-10,-1,-14,-12,-6
1508970801109793,-2,2,12,1,-50,-17,-9,-3
1508970801114062,-4,-7,-11,-5,22,9,4,-4
1508970801114062,1,8,4,1,15,3,7,2
1508970801114062,4,-1,-4,-9,-43,-1,-2,-1
1508970801114062,-1,-6,-4,-12,4,-11,12,7
1508970801120046,-4,-1,7,19,10,13,-6,-4
1508970801120046,3,5,3,-2,38,17,9,6
1508970801127081,-4,4,-6,-9,-37,-25,-17,-7
1508970801127081,-1,0,-1,26,22,5,8,3
1508970801136086,8,5,1,-8,-8,-5,-15,-5
1508970801136086,-4,9,7,-8,-28,-32,19,4
1508970801150270,5,25,6,6,29,45,1,0
1508970801150270,-4,-10,-10,-9,-9,9,-3,-5
1508970801157302,-4,5,16,7,26,-14,-2,-1
1508970801157302,0,-13,-8,-5,-28,-9,-10,-3
1508970801181357,1,10,4,14,3,-1,10,2
1508970801181357,-2,-3,-11,-13,8,-5,-2,-2
1508970801182208,5,-10,-15,-16,-18,-16,-7,4
1508970801182208,0,7,20,5,-13,-5,-15,-8
1508970801195278,-4,-15,-28,-35,-16,-11,-2,-1
1508970801195278,7,-6,0,36,47,30,16,1
1508970801203309,1,-8,-15,-23,-2,-9,2,5
1508970801203309,-12,-1,3,2,-36,-24,0,-2
1508970801218501,-5,-10,-1,11,5,24,7,4
1508970801218501,1,20,5,-3,21,-7,-18,-6
1508970801220535,-1,3,26,28,0,4,-2,0
1508970801220535,14,18,-22,-7,9,-3,8,4
1508970801241562,5,-37,-17,-16,-5,-11,13,5
1508970801241562,-7,18,-3,9,-8,21,5,2
1508970801242584,0,24,0,-1,4,-9,-2,-4
1508970801242584,0,-13,-12,15,8,-4,-9,-4
1508970801254686,-13,-8,4,-29,-31,-32,-8,-4
1508970801254686,-1,-17,-48,-23,9,6,-18,-5
1508970801263706,3,-3,10,-7,-21,-9,8,3
1508970801263706,7,-4,-12,57,27,16,31,20
1508970801278769,9,19,11,-10,15,-11,15,8
1508970801278769,-11,-36,-65,-41,-21,-3,-18,-24
1508970801279773,6,17,5,26,4,8,25,23
1508970801279773,-7,-4,4,-11,8,20,-57,-40
1508970801300804,2,0,-36,11,7,1,12,12
1508970801300804,-4,-15,-32,-21,-35,-38,-10,-4
1508970801302816,-8,-25,-3,-2,27,37,17,9
1508970801302816,-3,-6,1,-7,-11,-25,-28,-32
1508970801323895,0,-3,8,20,22,11,19,20
1508970801323895,1,21,32,10,15,1,-13,-11
1508970801324891,-7,-19,-24,-17,-32,-22,-31,-38
1508970801324891,-7,22,15,-8,-12,5,-24,-17
1508970801345956,-7,-8,1,17,15,-2,-7,-5
1508970801345956,9,14,50,-5,-29,-19,29,23
1508970801347929,6,23,57,33,28,13,-4,8
