timestamp,x,y,z
1508970768884844,-6.8125,1.9375,0.3125
1508970768907621,-5.1875,2,0.25
1508970768938232,-4.25,1.4375,0.25
1508970768946224,-4.6875,0.8125,-0.1875
1508970768967309,-6.75,0.9375,-0.1875
1508970768991435,-7.5,1.1875,0
1508970769045794,-13.5,2.75,-1.375
1508970769045794,-28.0625,2.25,-4.3125
1508970769047620,-38.5,1.5625,-4.1875
1508970769066884,-36.9375,1.5625,-4.6875
1508970769081006,-22,1.625,-3.3125
1508970769103064,-7.5,1.5,-2.25
1508970769126131,-1.9375,1,-1.1875
1508970769165273,-7.25,2.3125,-1
1508970769170245,-20.3125,4.3125,-1.3125
1508970769185299,-30.9375,5.5625,0.4375
1508970769208372,-38.8125,10.6875,0.75
1508970769222426,-54.125,16.3125,2.625
1508970769244484,-61,20.1875,9.5625
1508970769267758,-58.8125,21.6875,12.3125
1508970769282801,-53.9375,26.6875,14.5625
1508970769305104,-51.8125,34.25,19.3125
1508970769327448,-50.25,41.5625,29.4375
1508970769342481,-45.3125,43.6875,38.1875
1508970769364515,-41.4375,42.5,48.625
1508970769387563,-22.75,41.125,56.5625
1508970769402559,-0.625,43.8125,63.6875
1508970769424956,8,50.4375,73.75
1508970769447926,11.0625,57.4375,86.625
1508970769462937,11.5625,64.9375,100
1508970769485036,13.6875,64.25,118.313
1508970769516317,21.25,60.6875,134.25
1508970769522341,23.5625,65,146.313
1508970769545465,27.6875,77,148.813
1508970769567895,24.8125,90.625,145.688
1508970769582918,21.125,107.125,144.813
1508970769604983,20.625,128,156.5
1508970769628104,16.5625,140.938,163.75
1508970769642145,18.625,154.25,160.688
1508970769665487,23.375,164.688,166.063
1508970769687760,41.1875,170.813,165.563
1508970769702707,46.125,173.625,159.375
1508970769724862,32.875,172.313,147.063
1508970769747946,17.875,177,136.688
1508970769762943,13.5625,172.5,130.813
1508970769785113,16.625,171.375,121.375
1508970769807306,14.5625,168.813,110.688
1508970769822322,8.875,165.875,105.313
1508970769849264,6.6875,157.313,97.75
1508970769867457,-0.25,147.688,97.125
1508970769882380,7.875,137.563,97
1508970769904435,7.4375,123.188,91.125
1508970769927493,0.875,117.813,81.5625
1508970769942534,0.375,110.875,74.625
1508970769964565,-4.9375,105.063,62.6875
1508970769987707,-2.9375,93.9375,50.8125
1508970770002703,-4.625,72.625,38.375
1508970770024869,-10.0625,40.8125,24.6875
1508970770047929,-12.5,17.125,10.5
1508970770062963,-13.5,-3.25,-8.75
1508970770085144,-5.0625,-17.875,-15.625
1508970770107356,-5.0625,-27.1875,-17.1875
1508970770122391,-5,-29.0625,-14.75
1508970770146504,-4.6875,-26.3125,-15
1508970770167703,-2.3125,-18.5625,-13.0625
1508970770185605,0.4375,-10.375,-10.5625
1508970770206685,-2.5,-5.25,-10.25
1508970770227795,-1,1.3125,-9.0625
1508970770249920,-0.6875,0.75,-11.4375
1508970770266058,-2.8125,0,-10.1875
1508970770286962,-2.0625,1.1875,-7.5
1508970770305022,-0.5625,2.6875,-1.375
1508970770326077,0.125,1.125,-0.875
1508970770347287,-1.9375,-2.625,-0.3125
1508970770365174,0.375,-3,2.9375
1508970770386227,-3,-4.3125,3.8125
1508970770407319,-2.5,-4.9375,-0.625
1508970770425334,-2.375,-6.875,-2.25
1508970770446410,-0.9375,-4.3125,1.375
1508970770467671,-3,-2.6875,3.875
1508970770485605,-2,-1.3125,1.1875
1508970770507664,-2.3125,-1.5625,-2
1508970770527732,-1.5,-2.5,-3.1875
1508970770549775,-0.875,-2.4375,-2.25
1508970770567823,-0.3125,-3.625,-2.8125
1508970770586875,-1.125,-7.3125,-4.5625
1508970770609936,-0.5,-10.5,-5.75
1508970770627983,0.3125,-12.5,-6.25
1508970770647034,-0.25,-14.1875,-5.8125
1508970770670099,-3.75,-19.0625,-6.3125
1508970770688143,-6.1875,-22.375,-6.25
1508970770709200,-2.25,-20.125,-2.75
1508970770730257,-1.75,-17.5625,-1
1508970770747304,-2.8125,-16.125,-0.6875
1508970770767356,-4.3125,-16.5,-3.8125
1508970770790447,-2.25,-15.875,-3.625
1508970770807599,-2.3125,-16.6875,-5.4375
1508970770827721,-3.3125,-18.5,-5.375
1508970770849750,-1.75,-22.3125,-4.625
1508970770869764,1.4375,-32.125,-6.5
1508970770887956,0.375,-51.75,-15.875
1508970770910098,-8.9375,-70.0625,-25.25
1508970770928216,-8.75,-77.125,-25.5625
1508970770947607,-3.625,-86.125,-26.25
1508970770969648,-9.875,-100.125,-40.625
1508970770995746,-19.25,-116.813,-57.0625
1508970771007910,-19.125,-125.5,-73.625
1508970771030140,-15.8125,-136.75,-85.875
