timestamp,x,y,z,w
1508970721282563,0.498108,-0.13092,0.856995,0.0150757
1508970721297660,0.498047,-0.12854,0.857422,0.0149536
1508970721320723,0.497925,-0.127075,0.857666,0.0146484
1508970721345430,0.49762,-0.126709,0.85791,0.0145264
1508970721359374,0.497009,-0.126587,0.858276,0.0151367
1508970721380449,0.496033,-0.127808,0.858643,0.0160522
1508970721404517,0.494446,-0.129822,0.859253,0.0170898
1508970721447635,0.492737,-0.13208,0.859802,0.0193481
1508970721458628,0.491272,-0.137207,0.859741,0.0241089
1508970721464646,0.488281,-0.152588,0.858643,0.0299072
1508970721479689,0.482483,-0.171021,0.858398,0.0317993
1508970721502746,0.476196,-0.182556,0.859802,0.0248413
1508970721539251,0.470642,-0.185852,0.862427,0.0128174
1508970721583455,0.464172,-0.185181,0.866089,0.00189209
1508970721593457,0.456116,-0.187195,0.869934,-0.00689697
1508970721600362,0.445007,-0.196533,0.873535,-0.0139771
1508970721606451,0.435547,-0.212219,0.87439,-0.0251465
1508970721620618,0.426147,-0.22168,0.876099,-0.0413818
1508970721642701,0.416992,-0.224121,0.878784,-0.0596924
1508970721660716,0.402954,-0.222839,0.883728,-0.083313
1508970721680984,0.384644,-0.220215,0.889404,-0.111572
1508970721702236,0.362244,-0.21991,0.894714,-0.140991
1508970721725302,0.336853,-0.220459,0.899658,-0.168762
1508970721740433,0.308289,-0.219055,0.904297,-0.197876
1508970721762520,0.275269,-0.213135,0.909119,-0.228638
1508970721785540,0.240845,-0.211304,0.912292,-0.254944
1508970721800780,0.207092,-0.222534,0.911804,-0.27594
1508970721822903,0.17334,-0.245911,0.908142,-0.291138
1508970721845821,0.137939,-0.268982,0.902893,-0.305664
1508970721877046,0.098999,-0.284424,0.897522,-0.322083
1508970721883060,0.0569458,-0.289368,0.893311,-0.339111
1508970721905141,0.0113525,-0.290039,0.889038,-0.354004
1508970721929048,-0.0342407,-0.293457,0.88269,-0.365479
1508970721943205,-0.0758057,-0.30188,0.873169,-0.375183
1508970721968146,-0.113831,-0.311279,0.862244,-0.382935
1508970721983184,-0.149292,-0.317627,0.851807,-0.388916
1508970722019311,-0.182068,-0.322632,0.840881,-0.394592
1508970722025314,-0.211487,-0.326599,0.829529,-0.400696
1508970722041398,-0.237,-0.329285,0.81842,-0.406921
1508970722062439,-0.257324,-0.331909,0.807861,-0.413513
1508970722085455,-0.270081,-0.335693,0.79834,-0.420776
1508970722101498,-0.278992,-0.338501,0.790405,-0.427551
1508970722122580,-0.286804,-0.339966,0.783813,-0.43335
1508970722145615,-0.292969,-0.341003,0.778992,-0.437134
1508970722161665,-0.29895,-0.341248,0.775391,-0.439331
1508970722182716,-0.30365,-0.34137,0.771606,-0.442627
1508970722204798,-0.307678,-0.342773,0.767334,-0.446228
1508970722221816,-0.309814,-0.34491,0.763794,-0.449158
1508970722242873,-0.309875,-0.347107,0.761963,-0.4505
1508970722264932,-0.309082,-0.348633,0.761108,-0.451294
1508970722281977,-0.306885,-0.351013,0.761108,-0.450867
1508970722303036,-0.302917,-0.353699,0.762451,-0.44928
1508970722325092,-0.297546,-0.355469,0.764587,-0.447815
1508970722343140,-0.292603,-0.356384,0.767029,-0.446106
1508970722363194,-0.28833,-0.356995,0.76947,-0.444214
1508970722385284,-0.285645,-0.356934,0.771118,-0.443176
1508970722403300,-0.283508,-0.357361,0.771851,-0.442932
1508970722424357,-0.282166,-0.357178,0.772278,-0.443176
1508970722445443,-0.282288,-0.356689,0.7724,-0.443298
1508970722463585,-0.282043,-0.357544,0.771973,-0.443481
1508970722482913,-0.281433,-0.35791,0.772095,-0.44342
1508970722505866,-0.279358,-0.358032,0.772827,-0.443359
1508970722522877,-0.277283,-0.357483,0.773743,-0.44342
1508970722543070,-0.275391,-0.357178,0.774658,-0.443237
1508970722567081,-0.274048,-0.356689,0.775574,-0.442932
1508970722582137,-0.271606,-0.356628,0.776489,-0.442871
1508970722605095,-0.26947,-0.355591,0.778015,-0.442322
1508970722626154,-0.266968,-0.354553,0.779846,-0.441467
1508970722642213,-0.264526,-0.353271,0.781738,-0.440552
1508970722665255,-0.261902,-0.351807,0.78418,-0.438965
1508970722686532,-0.258484,-0.349792,0.787537,-0.436584
1508970722703557,-0.253723,-0.348083,0.791504,-0.433594
1508970722725616,-0.247314,-0.345459,0.796326,-0.430542
1508970722746712,-0.240173,-0.341125,0.802185,-0.427246
1508970722762715,-0.230164,-0.335449,0.809509,-0.423401
1508970722786020,-0.214111,-0.330872,0.819031,-0.416992
1508970722807074,-0.192688,-0.328308,0.829895,-0.407959
1508970722828288,-0.169312,-0.323669,0.842163,-0.396667
1508970722846176,-0.144897,-0.316406,0.854797,-0.384949
1508970722872244,-0.11853,-0.307983,0.867065,-0.37323
1508970722887315,-0.0905762,-0.299194,0.878662,-0.36084
1508970722906335,-0.062561,-0.290405,0.888794,-0.348877
1508970722928395,-0.0335083,-0.281799,0.897278,-0.338074
1508970722947538,-0.00323486,-0.274475,0.90387,-0.328064
1508970722964580,0.0292358,-0.267212,0.909058,-0.318359
1508970722988555,0.0621338,-0.259888,0.91272,-0.309021
1508970723009633,0.0982056,-0.25238,0.915161,-0.298523
1508970723024654,0.13678,-0.24762,0.915161,-0.287109
1508970723047807,0.173889,-0.245239,0.914124,-0.271912
1508970723068235,0.20813,-0.242004,0.912109,-0.25708
1508970723085125,0.238403,-0.237,0.910034,-0.242493
1508970723107211,0.265259,-0.230652,0.909485,-0.221924
1508970723128271,0.287048,-0.216675,0.911255,-0.200562
1508970723145284,0.30719,-0.193909,0.913269,-0.184265
1508970723167381,0.330078,-0.176392,0.91156,-0.170227
1508970723188750,0.354675,-0.168213,0.906799,-0.153564
1508970723204854,0.375732,-0.1604,0.902405,-0.13678
1508970723227918,0.389465,-0.15094,0.899963,-0.124695
1508970723256133,0.403503,-0.141541,0.896606,-0.114685
1508970723265017,0.420532,-0.137573,0.891479,-0.0974731
1508970723287071,0.437378,-0.13324,0.885803,-0.0789185
