timestamp,x,y,z
1508971016135523,0.856934,-0.243652,0.501953
1508971016158578,0.830566,-0.228027,0.485352
1508971016173679,0.834473,-0.213867,0.496094
1508971016197463,0.841309,-0.214355,0.501953
1508971016218571,0.850586,-0.209473,0.510742
1508971016233667,0.853516,-0.19873,0.501953
1508971016286775,0.868164,-0.168945,0.47168
1508971016296065,0.91748,-0.0883789,0.408203
1508971016302938,0.912598,-0.0458984,0.391602
1508971016319985,0.921387,-0.14502,0.32666
1508971016340257,1.00781,-0.17334,0.323242
1508971016369399,0.953613,-0.27832,0.360352
1508971016423539,0.921875,-0.371094,0.436035
1508971016424513,0.935547,-0.508301,0.454102
1508971016424513,0.928711,-0.554688,0.481445
1508971016436573,0.915039,-0.584961,0.524902
1508971016457599,0.850098,-0.609375,0.57959
1508971016480686,0.75,-0.626465,0.638672
1508971016498708,0.615723,-0.657227,0.64209
1508971016517758,0.472656,-0.700195,0.697754
1508971016540821,0.366211,-0.720215,0.709473
1508971016558868,0.302734,-0.836914,0.75293
1508971016577918,0.199219,-0.805664,0.78125
1508971016600980,0.0800781,-0.758301,0.805664
1508971016618027,-0.0078125,-0.758301,0.851563
1508971016638080,-0.0356445,-0.818848,0.822754
1508971016661141,-0.0756836,-0.787598,0.816895
1508971016678187,-0.149902,-0.679199,0.76709
1508971016698317,-0.191406,-0.714355,0.818359
1508971016720302,-0.104004,-0.821289,0.775391
1508971016738351,-0.160156,-0.789063,0.723145
1508971016759709,-0.253418,-0.831055,0.77832
1508971016781079,-0.202148,-0.823242,0.719238
1508971016799048,-0.130859,-0.889648,0.73291
1508971016819338,-0.152344,-0.833496,0.749023
1508971016840533,-0.0488281,-0.622559,0.631348
1508971016858442,-0.15918,-0.561035,0.625488
1508971016879499,-0.244141,-0.588379,0.57373
1508971016900594,-0.272461,-0.541992,0.569336
1508971016918603,-0.323242,-0.410156,0.467773
1508971016939656,-0.486816,-0.349121,0.404785
1508971016960980,-0.559082,-0.491699,0.494141
1508971016978886,-0.445313,-0.549316,0.533691
1508971016999261,-0.456543,-0.489258,0.566406
1508971017020233,-0.495605,-0.490234,0.566895
1508971017038245,-0.569824,-0.494141,0.60791
1508971017059361,-0.636719,-0.538086,0.638672
1508971017080570,-0.667969,-0.596191,0.652344
1508971017098469,-0.675781,-0.595703,0.65625
1508971017127541,-0.686035,-0.611816,0.684082
1508971017140605,-0.708008,-0.612305,0.679199
1508971017158686,-0.707031,-0.569336,0.658691
1508971017180681,-0.678711,-0.553223,0.665039
1508971017200862,-0.677246,-0.568848,0.661621
1508971017218782,-0.624023,-0.563477,0.643555
1508971017240841,-0.625,-0.560059,0.618164
1508971017260983,-0.59375,-0.552246,0.604004
1508971017279078,-0.588379,-0.556641,0.605957
1508971017301139,-0.588867,-0.561035,0.582031
1508971017320188,-0.597656,-0.555664,0.573242
1508971017338238,-0.582031,-0.584961,0.583496
1508971017361297,-0.588379,-0.595215,0.606445
1508971017380687,-0.537598,-0.586914,0.612305
1508971017403787,-0.520508,-0.595703,0.585449
1508971017419833,-0.461426,-0.625,0.624512
1508971017443102,-0.478027,-0.621094,0.623047
1508971017463563,-0.551758,-0.614258,0.607422
1508971017480487,-0.586426,-0.567871,0.588867
1508971017502523,-0.615234,-0.578613,0.59668
1508971017523966,-0.628906,-0.548828,0.638672
1508971017539854,-0.625488,-0.562012,0.631836
1508971017562911,-0.645996,-0.552734,0.623535
1508971017584295,-0.612305,-0.57373,0.613281
1508971017599335,-0.578613,-0.619141,0.630371
1508971017622463,-0.561035,-0.636719,0.617188
1508971017645488,-0.574219,-0.632324,0.606445
1508971017659524,-0.530762,-0.615234,0.619141
1508971017683589,-0.48291,-0.642578,0.640625
1508971017705679,-0.407715,-0.674316,0.633301
1508971017719686,-0.381836,-0.728516,0.664551
1508971017742770,-0.323242,-0.706055,0.616699
1508971017764884,-0.283203,-0.668945,0.62207
1508971017779849,-0.259277,-0.647949,0.588867
1508971017802907,-0.252441,-0.635742,0.588867
1508971017824988,-0.257813,-0.652832,0.594727
1508971017839152,-0.26123,-0.693848,0.620605
1508971017863072,-0.305664,-0.686035,0.607422
1508971017885326,-0.25293,-0.70459,0.637207
1508971017906524,-0.245117,-0.668457,0.646973
1508971017922428,-0.236816,-0.722656,0.70166
1508971017945640,-0.206055,-0.81543,0.753418
1508971017966798,-0.251465,-0.75293,0.720215
1508971017982840,-0.156738,-0.703125,0.734375
1508971018004897,0.119141,-0.612793,0.785156
1508971018026182,0.209473,-0.704102,0.78125
1508971018043108,0.0146484,-0.741211,0.766113
1508971018065166,-0.164551,-0.75293,0.79248
1508971018086246,-0.0395508,-0.587402,0.730957
1508971018102255,0.242188,-0.626465,0.776367
1508971018125320,0.294922,-0.619141,0.786621
1508971018146390,0.166016,-0.629395,0.78418
1508971018162449,0.147949,-0.593262,0.777344
1508971018185477,0.395996,-0.663574,0.734863
1508971018206544,0.580566,-0.71582,0.714355
1508971018222576,0.601563,-0.655273,0.666504
1508971018245636,0.56543,-0.550781,0.625
1508971018266848,0.636719,-0.49707,0.535645
1508971018282859,0.948242,-0.472656,0.51123
1508971018304949,1.29199,-0.348145,0.537109
1508971018326101,1.12305,-0.160645,0.560547
1508971018343019,1.11328,-0.0810547,0.44873
1508971018372415,1.06152,-0.11377,0.393066
1508971018386405,1.06641,-0.18457,0.39209
1508971018402445,1.00049,-0.121094,0.529785
1508971018425507,0.929199,-0.0917969,0.398926
1508971018446719,0.884766,-0.0566406,0.427246
1508971018462605,0.821777,-0.227051,0.461914
1508971018484926,0.810547,-0.312988,0.452637
1508971018514149,0.791016,-0.321777,0.45459
1508971018522131,0.763184,-0.279785,0.509766
