timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508971111883095,1,0,0,0,25,1,0,-2
1508971111883095,-2,-1,-1,1,0,-1,-1,0
1508971111884039,-1,-1,-3,10,22,-5,-2,0
1508971111884039,0,0,0,4,3,8,-1,-1
1508971111884039,-1,-2,-3,-23,-37,-8,1,-2
1508971111884039,2,-1,1,17,4,11,-7,-2
1508971111888067,-4,-5,-2,9,48,-10,-35,0
1508971111888067,4,1,0,-17,-74,-6,44,8
1508971111895066,2,6,6,12,24,12,29,2
1508971111895066,-1,-2,-6,-16,-36,-16,-22,-2
1508971111906150,-3,-8,-4,-3,6,5,0,-6
1508971111906150,-9,-5,-5,-6,63,-22,-34,-1
1508971111910160,11,3,0,-11,-34,28,43,-3
1508971111910160,-12,0,3,20,-35,-28,-45,13
1508971111926168,7,-7,-6,6,14,47,74,-30
1508971111926168,-5,-7,-1,-3,5,-8,-67,-8
1508971111934281,-13,-10,-8,-7,14,-18,-46,-14
1508971111934281,0,4,-5,-18,13,2,-6,5
1508971111955705,0,-6,3,-2,-41,-22,-27,5
1508971111955705,11,40,12,18,27,13,15,0
1508971111956570,-10,-31,-3,-2,12,-3,2,5
1508971111956570,-1,-9,-4,-14,-24,-7,2,-10
1508971111969601,-4,-2,-3,-4,8,0,1,7
1508971111969601,3,2,1,9,-22,12,23,-1
1508971112011938,-3,-2,-5,-25,31,-4,-3,-2
1508971112011938,0,0,1,14,-12,8,-1,-2
1508971112012921,0,-1,0,2,27,7,-1,0
1508971112012921,-2,-2,-4,-11,-17,-4,-3,-2
1508971112016142,1,4,2,1,-33,-5,0,1
1508971112016142,-5,0,-2,-10,18,-4,-2,-2
1508971112016142,-8,-15,-15,-18,-2,1,-1,-3
1508971112016142,2,2,3,26,14,2,-1,0
1508971112030328,3,4,5,4,-2,-2,2,2
1508971112030328,-1,5,2,-12,21,7,-2,0
1508971112031216,-2,-5,-4,-14,-85,-17,-4,-3
1508971112031216,0,4,1,-20,0,-2,-2,3
1508971112046435,1,-1,2,33,20,10,4,2
1508971112046435,-1,-2,2,23,46,9,2,0
1508971112052481,-3,-6,-2,-6,35,-3,-1,-2
1508971112052481,-4,-6,-9,-34,-37,-11,-6,-3
1508971112068690,0,5,-1,-7,-27,5,-1,-6
1508971112068690,0,-12,-6,17,-12,-7,-2,1
1508971112090892,3,16,15,7,26,1,-1,0
1508971112090892,-3,-11,-7,3,1,3,1,-3
1508971112092757,-8,-12,-13,-14,38,-5,-4,-2
1508971112092757,-7,-12,-6,-20,-54,-9,-1,-1
1508971112097991,10,14,8,17,-48,-7,-2,4
1508971112097991,6,3,8,17,57,12,5,4
1508971112106078,2,-1,-6,-12,-6,-1,-3,-1
1508971112106078,-14,6,4,-5,8,-6,-18,-9
1508971112120054,7,4,-13,-3,-17,-4,23,16
1508971112120054,-17,-10,-2,-7,4,3,9,-38
1508971112129270,1,-11,-1,11,4,10,3,-8
1508971112129270,3,11,5,-13,3,0,1,2
1508971112143479,-1,-6,-1,-1,-9,-7,-12,2
1508971112143479,-2,-6,-1,-2,-2,-7,-8,2
1508971112145316,-8,-10,-12,1,-32,-2,6,5
1508971112145316,9,0,-5,4,18,-2,6,0
1508971112157500,-5,-15,-11,-14,45,10,-6,-6
1508971112157500,4,1,-10,-21,-63,-13,-3,4
1508971112173536,-2,6,12,12,6,2,-5,-1
1508971112173536,12,5,10,27,4,6,10,13
1508971112179617,-13,-10,-14,1,33,6,-6,-26
1508971112179617,7,15,16,1,7,-3,-13,-5
1508971112188737,-3,-6,-5,-27,-33,-19,-5,5
1508971112188737,-7,-4,-9,-9,-10,-2,2,-4
1508971112203955,8,12,19,35,-1,22,7,2
1508971112203955,0,3,-1,20,70,13,6,14
1508971112204955,4,6,10,-1,-38,-7,3,-2
1508971112204955,-6,-23,-20,-33,-3,-17,-10,-2
1508971112226009,-7,0,-5,-28,-27,-12,-10,-5
1508971112226009,-3,-1,14,46,-42,9,6,3
1508971112228014,6,6,5,24,85,18,6,5
1508971112228014,-4,-3,-12,-18,-10,-3,-16,-7
1508971112242084,7,-6,-5,-24,2,-15,-2,0
1508971112242084,-12,-1,-3,4,-39,3,-9,-1
1508971112255086,-5,-6,9,10,13,-3,-46,-4
1508971112255086,7,16,11,15,53,23,72,8
1508971112263141,0,-6,-12,-20,-73,-24,-12,-1
1508971112263141,3,-1,-4,-11,-13,-5,9,10
1508971112265113,3,-2,-8,-3,6,-3,-12,-6
1508971112265113,-9,1,14,0,-21,-5,-21,-4
1508971112286197,5,16,19,14,46,28,17,15
1508971112286197,-4,-15,-24,-4,5,-25,-15,-20
1508971112288174,2,8,9,-18,-16,-5,6,18
1508971112288174,1,-7,-30,-8,-21,-1,-5,-13
1508971112300206,-5,-3,14,23,33,11,10,-1
1508971112300206,8,19,17,11,22,14,5,10
1508971112316249,-7,-11,-20,-21,-8,-5,6,-15
1508971112316249,16,7,-10,8,24,-1,-4,7
1508971112323267,-24,-43,-21,-36,-83,-18,-13,-2
1508971112323267,12,19,19,1,26,-8,-7,-10
1508971112325273,-12,-12,9,20,25,11,-20,-17
1508971112325273,61,38,-6,25,-8,-2,46,92
1508971112346330,-24,-30,-59,-36,-13,-15,-42,-54
1508971112346330,-10,-12,6,-11,13,14,59,21
1508971112347334,3,13,34,14,-15,11,21,-5
1508971112347334,-7,1,17,7,0,-1,-18,-8
