timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508971205909145,0,2,-15,-3,-2,5,3,1
1508971205909145,-2,-9,-7,-9,-5,-5,2,2
1508971205911110,0,0,2,-3,4,-1,-7,-3
1508971205911110,1,1,2,-9,-16,-1,8,2
1508971205912113,0,0,8,19,33,4,-7,-1
1508971205912113,-5,-8,0,1,-21,-2,0,-1
1508971205915121,-1,9,-2,9,40,8,-3,-3
1508971205915121,-3,-12,-2,-14,37,3,-5,-2
1508971205922142,0,-4,-3,-5,-102,-19,-2,-1
1508971205922142,4,3,-1,1,8,-8,5,4
1508971205933175,-1,-10,0,6,33,1,-7,-2
1508971205933175,-2,3,8,14,1,3,0,0
1508971205937280,0,1,-11,-13,45,2,1,1
1508971205937280,-1,18,-3,-5,-14,-2,-5,-3
1508971205952319,-5,-32,-8,-5,-28,-5,0,-1
1508971205952319,2,12,4,0,-24,4,2,2
1508971205960339,-2,-5,4,5,28,2,-1,-1
1508971205960339,4,7,3,1,-19,-3,0,1
1508971205968361,0,9,1,4,15,3,2,2
1508971205968361,-5,-11,-11,-12,16,-5,-7,-6
1508971205981799,-4,-4,0,-14,-75,-9,-2,-3
1508971205981799,1,2,5,18,50,9,2,0
1508971205991891,-1,3,1,0,-16,4,4,2
1508971205991891,-1,-5,-8,-12,-12,-7,-3,-1
1508971206029224,1,-3,-3,7,15,4,-2,-1
1508971206029224,-2,1,2,16,-17,1,1,-1
1508971206031119,1,1,-8,-1,11,-13,-2,2
1508971206031119,-4,-3,8,-10,-27,2,0,-2
1508971206032091,-7,-11,3,-22,13,-6,-9,-5
1508971206032091,1,0,-1,-13,-5,8,-6,-2
1508971206034333,-2,0,-1,1,-25,0,8,-1
1508971206034333,5,7,5,16,-32,-9,3,4
1508971206041496,3,1,-15,4,1,-10,-5,0
1508971206041496,-3,-3,13,8,38,14,-30,-12
1508971206050419,3,0,5,11,38,6,32,5
1508971206050419,-4,-4,-4,-18,-29,20,38,0
1508971206056545,-2,1,-6,-7,35,-7,-6,0
1508971206056545,2,-1,-9,-18,-86,-30,-52,0
1508971206079604,0,1,1,0,48,20,78,9
1508971206079604,-4,-1,0,22,-11,2,8,-6
1508971206080498,2,0,1,8,27,13,17,4
1508971206080498,1,1,2,5,17,-1,18,7
1508971206088485,-5,-3,0,-9,-15,-30,-92,-17
1508971206088485,1,-3,-9,-9,-4,-1,31,9
1508971206102555,-2,0,5,-5,-31,0,5,1
1508971206102555,-2,-1,-4,-3,39,-10,-4,-5
1508971206110561,1,-2,-3,-17,-37,-12,-15,-2
1508971206110561,-1,0,-2,-11,-15,5,-24,-9
1508971206116884,3,6,6,29,42,4,-8,3
1508971206116884,2,2,-5,20,-9,5,47,5
1508971206131927,-5,-10,2,-1,-6,-4,-29,-5
1508971206131927,-3,-5,-4,-30,20,-13,18,2
1508971206139150,2,3,-19,-2,-27,-5,-99,-16
1508971206139150,-2,-3,29,7,31,23,67,18
1508971206148068,-1,-1,-4,-15,-35,9,10,5
1508971206148068,1,2,5,14,13,-9,-33,-7
1508971206162087,5,17,-53,9,-4,-10,-3,4
1508971206162087,-12,-25,41,-20,-1,-3,-4,-11
1508971206170322,-3,-1,10,26,26,10,-9,-3
1508971206170322,1,0,8,20,7,3,-12,2
1508971206176480,9,9,-42,-7,30,9,37,11
1508971206176480,2,-3,-103,-47,-41,-14,-21,-2
1508971206191521,-10,-7,78,6,-19,1,-27,-9
1508971206191521,-9,-24,14,-31,-11,-12,-13,-14
1508971206199539,5,15,30,53,-12,4,46,9
1508971206199539,6,1,-49,-13,22,8,-13,-2
1508971206208424,0,-3,-44,-35,-1,1,38,9
1508971206208424,12,14,10,55,42,18,-29,-2
1508971206221587,-36,-53,78,-79,-74,-19,-25,-28
1508971206221587,7,10,-13,71,23,8,-13,6
1508971206230481,19,57,-38,20,10,7,5,12
1508971206230481,-7,-53,61,-23,2,-11,-1,-2
1508971206244517,-24,-2,-25,9,-5,2,-36,-18
1508971206244517,-12,-14,106,9,-18,-5,7,-12
1508971206251536,22,25,-127,36,41,33,6,16
1508971206251536,9,31,54,-14,34,14,32,14
1508971206259557,-7,-6,76,27,-31,-30,-16,-2
1508971206259557,3,4,-70,-51,-15,-11,-35,10
1508971206268590,-17,-30,54,-30,-33,-40,1,-19
1508971206268590,-1,17,-76,27,21,12,-20,-12
1508971206281644,21,10,-83,45,48,14,46,20
1508971206281644,-17,-4,112,-21,-27,-40,-11,-10
1508971206290642,12,7,-93,-2,-4,14,46,24
1508971206290642,3,-27,-78,59,36,38,-34,-9
1508971206296656,-12,0,93,-26,-31,-41,9,-11
1508971206296656,23,52,-128,48,48,79,0,4
1508971206319727,-10,-25,-12,-10,16,7,-11,-1
1508971206319727,5,-7,-35,26,14,19,15,9
1508971206320720,-13,8,53,-35,-58,-29,-6,-14
1508971206320720,5,9,-79,-7,0,-15,17,-7
1508971206341803,-9,-26,78,-19,-40,-22,-10,-11
1508971206341803,-1,22,-60,13,12,39,-36,-10
1508971206342805,22,13,-120,-8,46,18,-66,-1
1508971206342805,-29,-21,127,-18,-46,-54,-25,-22
1508971206357836,-27,-33,23,-69,-54,-46,-21,-19
1508971206357836,23,30,-53,33,-13,-9,37,25
1508971206357836,0,-19,25,13,11,42,42,15
1508971206357836,-4,13,-7,-19,-15,-10,15,3
1508971206379877,29,15,-107,27,42,8,7,10
1508971206379877,-41,-37,74,-89,-68,-97,-30,-20
1508971206380880,10,9,-121,-11,-1,35,11,8
1508971206380880,-4,-13,11,-1,-10,47,20,8
1508971206401936,7,-1,-53,1,-22,-25,10,4
1508971206401936,12,34,-94,-41,25,16,19,10
1508971206402939,-18,-17,52,-3,-22,-25,-6,-12
1508971206402939,-4,-23,-21,-5,-5,-13,2,-5
1508971206416977,5,5,-58,17,14,11,-37,6
1508971206416977,-20,-7,110,30,-3,17,-7,-13
1508971206417979,6,3,-23,-10,20,18,7,-2
