timestamp,x,y,z
1508971243969107,-1.8125,-0.1875,-0.625
1508971243992043,-2.625,0.375,-0.25
1508971244014254,-3.75,1.125,0.3125
1508971244036937,-2.875,-0.1875,0.75
1508971244051160,-1.1875,0.0625,-0.0625
1508971244075431,1.0625,0.1875,-0.25
1508971244096528,0.4375,1.0625,1.625
1508971244153710,0.75,2.0625,3.25
1508971244154684,1.125,4.5625,5.6875
1508971244155685,-11.3125,10.125,9.1875
1508971244179775,-48.0625,23.1875,9.25
1508971244190778,-84.5,35.4375,9.4375
1508971244208827,-108.25,46.875,18.5
1508971244232917,-101,61.25,33.5625
1508971244248933,-76.3125,70.3125,51.8125
1508971244286033,-51.5,78.6875,58.25
1508971244292047,-31.25,88.6875,53.625
1508971244307090,-34.625,88.8125,53.5625
1508971244329147,-32.6875,81.125,55.125
1508971244351238,-16.75,89.5,60.8125
1508971244366275,4.4375,105.875,69.3125
1508971244398331,8.1875,115.75,77.375
1508971244411431,-22.5625,111.75,86.875
1508971244426603,-44.6875,112.5,100
1508971244457867,-35.25,120.438,108
1508971244471912,-14.3125,128.188,116.938
1508971244489029,-2.0625,127.688,125
1508971244509461,3.9375,121.063,128.313
1508971244540744,19.375,127.375,131.75
1508971244546768,16.5625,128.438,132.688
1508971244571726,15,120.313,127.813
1508971244591890,14.3125,115.75,121.125
1508971244606929,25.625,110.5,127.375
1508971244628987,37.4375,116.375,122.813
1508971244651943,26.4375,114.813,111.563
1508971244666280,14.3125,113.938,107.063
1508971244689341,11.8125,113.313,107.063
1508971244711297,17.5625,111.125,105.063
1508971244726354,13.9375,98.375,86.875
1508971244749363,5.1875,93.6875,67.8125
1508971244771882,5.375,85.3125,52.125
1508971244785968,5.625,76.25,32.125
1508971244809233,3.125,60.25,19.75
1508971244831288,3.9375,51.0625,22.25
1508971244846350,-0.9375,49.3125,19
1508971244869394,-4.0625,42.6875,24.125
1508971244891439,-5,36,28.875
1508971244906476,-23.875,28.625,22.4375
1508971244928537,-32.25,24.1875,21.9375
1508971244951696,-32.4375,23.4375,27
1508971244966779,-36.125,15.9375,35.4375
1508971244988910,-63.0625,-0.75,25.0625
1508971245011076,-60.3125,-9.5,-0.0625
1508971245034134,-39,-10.25,-18
1508971245049170,-31.9375,-14,-19.125
1508971245071234,-40.5625,-17.5625,-24.875
1508971245086353,-28.125,-11.375,-32.0625
1508971245109418,-2.9375,-6.25,-29.5625
1508971245131622,9.125,-2.4375,-12.5
1508971245146656,6.8125,-2.75,6.8125
1508971245168830,6.875,-2,15.6875
1508971245191922,8.3125,-0.75,16.4375
1508971245206237,6.875,-1.5,17.625
1508971245229426,5.3125,-0.1875,21.8125
1508971245251692,0,-3.0625,20.875
1508971245273750,-2.9375,-3.4375,14.25
1508971245289000,0.3125,-0.9375,9.8125
1508971245311938,1.1875,1.875,6.375
1508971245334248,0.125,-3,0.375
1508971245349188,-2.5625,-11.375,-4.1875
1508971245371250,0.375,-10.3125,-4.5625
1508971245389254,7.5,-8.0625,-4.8125
1508971245409389,6.5625,-14.8125,-3.75
1508971245431422,1.8125,-20.125,-3.5625
1508971245454501,3.8125,-19.125,-7.375
1508971245468759,8.4375,-21.3125,-10.0625
1508971245491777,8.5625,-28.8125,-10.9375
1508971245514143,7.4375,-42.5625,-11.9375
1508971245530102,7.8125,-64.5,-19.5625
1508971245551257,-12,-77.1875,-48.5
1508971245574393,4.3125,-88,-61.0625
1508971245589438,28.8125,-104.688,-82.625
1508971245611489,12.5,-132.75,-107.75
1508971245634452,-14.1875,-161.563,-137.688
1508971245648775,-41.5,-155,-128.625
1508971245671713,-10.875,-142.813,-131.125
1508971245693877,40.875,-144.125,-151.438
1508971245709109,17.5,-159.125,-164.313
1508971245734105,3.125,-149.125,-147.5
1508971245771233,18.9375,-136.563,-132.25
1508971245773205,21.75,-142.75,-118.625
1508971245791251,-16.0625,-157.188,-111.938
1508971245817327,-51.6875,-156.5,-114.938
1508971245830357,-32.25,-127.875,-118.75
1508971245851652,11.4375,-115.5,-108.375
1508971245875714,15,-119.875,-88.125
1508971245897875,10.0625,-103.813,-88.9375
1508971245911946,15.6875,-74.0625,-101.5
1508971245934328,-1.625,-61.625,-95.625
1508971245950352,-33.1875,-68.5625,-83.75
1508971245971528,-11.625,-81,-96.3125
1508971245994499,56.3125,-90.3125,-100.438
1508971246010507,92.875,-95.5,-79.5625
1508971246038781,92.0625,-99.8125,-73.1875
1508971246053883,83.125,-103.5,-74.4375
1508971246072019,89.875,-97.6875,-69.5625
1508971246091208,108.875,-88.75,-52.6875
1508971246114408,123,-78.25,-30.875
