timestamp,x,y,z,w
1508971247343247,0.372192,0.346497,0.500488,-0.700623
1508971247369006,0.371948,0.34552,0.500854,-0.700928
1508971247388946,0.371643,0.344727,0.501526,-0.70105
1508971247403988,0.371582,0.343567,0.50238,-0.70105
1508971247427055,0.372314,0.341919,0.503113,-0.700928
1508971247450109,0.372742,0.340698,0.50354,-0.70105
1508971247504349,0.372253,0.340271,0.503418,-0.701538
1508971247505298,0.371277,0.340027,0.503052,-0.702454
1508971247506376,0.369507,0.340149,0.502686,-0.703552
1508971247517370,0.367798,0.34021,0.502258,-0.704773
1508971247539652,0.366516,0.339661,0.502625,-0.705444
1508971247554569,0.367554,0.336121,0.504944,-0.704956
1508971247581767,0.372192,0.328064,0.508484,-0.703735
1508971247600927,0.378357,0.316956,0.512329,-0.702759
1508971247639057,0.385559,0.303223,0.515869,-0.702332
1508971247640033,0.392761,0.287231,0.51709,-0.704163
1508971247660070,0.396301,0.272644,0.514832,-0.709595
1508971247675236,0.394775,0.26001,0.512024,-0.717224
1508971247704312,0.391052,0.246643,0.510376,-0.725098
1508971247718377,0.38855,0.231201,0.509949,-0.731812
1508971247734392,0.388062,0.2099,0.511047,-0.737671
1508971247759459,0.388977,0.185242,0.512329,-0.742859
1508971247778511,0.388123,0.159485,0.511353,-0.749939
1508971247793662,0.384094,0.135315,0.507996,-0.758972
1508971247819737,0.377014,0.112549,0.502563,-0.769836
1508971247839022,0.368713,0.0896606,0.495239,-0.781494
1508971247855020,0.361084,0.065979,0.487244,-0.792358
1508971247877081,0.353149,0.0410767,0.478455,-0.802917
1508971247902143,0.348145,0.0144043,0.468628,-0.811768
1508971247914352,0.342834,-0.0114136,0.456604,-0.820862
1508971247936264,0.33551,-0.0349121,0.443298,-0.830505
1508971247958678,0.331177,-0.0592651,0.427612,-0.83905
1508971247982662,0.322083,-0.0796509,0.412659,-0.848328
1508971247996793,0.308899,-0.0982666,0.398499,-0.857971
1508971248018954,0.290955,-0.116943,0.385742,-0.867676
1508971248036956,0.272888,-0.136414,0.374512,-0.87561
1508971248057044,0.255798,-0.157288,0.360657,-0.883057
1508971248079067,0.241577,-0.179565,0.345154,-0.888977
1508971248095146,0.227966,-0.199951,0.330139,-0.893921
1508971248116533,0.213318,-0.218628,0.316223,-0.898193
1508971248139485,0.196045,-0.237976,0.302917,-0.901794
1508971248155500,0.177856,-0.257446,0.289917,-0.90448
1508971248176761,0.162231,-0.274353,0.277649,-0.906311
1508971248198944,0.150757,-0.289124,0.266418,-0.907043
1508971248215841,0.143372,-0.302368,0.256409,-0.906799
1508971248236900,0.135681,-0.31488,0.246704,-0.906433
1508971248258959,0.130798,-0.32489,0.237183,-0.906189
1508971248281209,0.130005,-0.331787,0.229614,-0.905762
1508971248296221,0.133667,-0.335815,0.224365,-0.905029
1508971248319284,0.138672,-0.336975,0.221313,-0.904602
1508971248336329,0.145142,-0.335205,0.218628,-0.904907
1508971248356470,0.153809,-0.331177,0.216431,-0.905457
1508971248378693,0.162231,-0.326538,0.215759,-0.905823
1508971248396647,0.167175,-0.322571,0.216797,-0.906128
1508971248416740,0.170593,-0.31897,0.217529,-0.906555
1508971248438768,0.173279,-0.315979,0.217407,-0.907166
1508971248456798,0.175049,-0.313599,0.216675,-0.907837
1508971248476020,0.175232,-0.311584,0.216125,-0.908569
1508971248499319,0.174316,-0.310059,0.216003,-0.909302
1508971248517241,0.172607,-0.309814,0.21582,-0.90979
1508971248536448,0.170593,-0.309692,0.215393,-0.910278
