timestamp,x,y,z
1508971353745443,0.841309,-0.190918,0.536621
1508971353760454,0.825195,-0.17334,0.521973
1508971353783905,0.82666,-0.185059,0.53418
1508971353806045,0.830566,-0.188477,0.542969
1508971353821006,0.819336,-0.180176,0.542969
1508971353844065,0.800781,-0.168457,0.55127
1508971353890216,0.797363,-0.181152,0.55957
1508971353892193,0.791016,-0.1875,0.561523
1508971353904228,0.786621,-0.217773,0.572266
1508971353926311,0.789551,-0.253418,0.578125
1508971353942327,0.790039,-0.263672,0.581055
1508971353971421,0.799805,-0.254883,0.57959
1508971354025551,0.826172,-0.229004,0.541992
1508971354026551,0.836914,-0.19873,0.518066
1508971354028556,0.839844,-0.167969,0.521973
1508971354046605,0.833496,-0.143555,0.499023
1508971354068699,0.838379,-0.0961914,0.516602
1508971354082736,0.840332,-0.118652,0.544434
1508971354105786,0.875977,-0.130859,0.49707
1508971354127858,0.89209,-0.209473,0.494141
1508971354142905,0.862793,-0.173828,0.516602
1508971354165966,0.953125,-0.0874023,0.560059
1508971354188215,0.940918,-0.0649414,0.571777
1508971354203305,0.901855,-0.078125,0.463867
1508971354225533,0.963379,-0.111816,0.406738
1508971354247595,0.938477,-0.247559,0.43457
1508971354262665,0.998535,-0.34082,0.554199
1508971354288702,0.965332,-0.334961,0.628906
1508971354307751,0.890625,-0.31543,0.673828
1508971354322791,0.814941,-0.412598,0.772461
1508971354346009,0.689453,-0.60791,0.806152
1508971354368136,0.569824,-0.646484,0.945313
1508971354383151,0.493652,-0.566406,0.938965
1508971354405400,0.382813,-0.422852,0.902832
1508971354428712,0.251953,-0.446777,0.920898
1508971354443746,0.214355,-0.526367,1.01563
1508971354465811,0.102051,-0.482422,0.938965
1508971354487838,-0.0170898,-0.581543,0.986328
1508971354502876,-0.0146484,-0.407715,0.9375
1508971354526099,-0.129395,-0.464844,0.961426
1508971354548247,-0.1875,-0.416504,0.935059
1508971354573281,-0.182129,-0.379395,0.881348
1508971354585312,-0.247559,-0.336914,0.861328
1508971354608373,-0.407227,-0.377441,0.987305
1508971354626429,-0.209961,-0.419922,0.820801
1508971354645561,-0.123535,-0.393066,0.876953
1508971354676800,-0.260254,-0.34668,0.825195
1508971354690828,-0.245117,-0.329102,0.824707
1508971354705961,-0.213867,-0.371582,0.828613
1508971354728100,-0.291504,-0.352051,0.752441
1508971354743008,-0.255859,-0.400879,0.690918
1508971354765086,-0.299805,-0.424805,0.651367
1508971354788463,-0.394531,-0.417969,0.614258
1508971354803397,-0.439941,-0.390625,0.564941
1508971354825523,-0.571289,-0.322754,0.512207
1508971354847943,-0.597168,-0.297363,0.505371
1508971354862974,-0.684082,-0.284668,0.524902
1508971354885901,-0.779297,-0.279297,0.658691
1508971354908219,-0.836914,-0.277832,0.775391
1508971354923265,-0.900391,-0.234375,0.755859
1508971354945316,-0.897949,-0.210449,0.758789
1508971354968385,-0.796387,-0.285645,0.801758
1508971354983425,-0.723145,-0.327637,0.820801
1508971355013648,-0.706055,-0.34375,0.787109
1508971355028662,-0.673828,-0.304688,0.708496
1508971355045620,-0.634277,-0.336426,0.728516
1508971355066782,-0.589844,-0.370605,0.740723
1508971355088768,-0.595215,-0.327148,0.729492
1508971355118958,-0.601563,-0.306641,0.699219
1508971355126834,-0.602539,-0.312988,0.678223
1508971355148198,-0.581543,-0.30127,0.692871
1508971355171115,-0.560059,-0.311035,0.716309
1508971355188160,-0.545898,-0.316895,0.723145
1508971355208259,-0.541016,-0.319824,0.727051
1508971355230418,-0.507324,-0.324707,0.740234
1508971355248324,-0.474121,-0.327637,0.721191
1508971355268651,-0.490723,-0.314453,0.74707
1508971355293684,-0.478516,-0.304199,0.725098
1508971355308938,-0.45166,-0.280762,0.70459
1508971355328115,-0.478027,-0.242188,0.713379
1508971355351108,-0.406738,-0.233398,0.737793
1508971355368083,-0.492676,-0.320313,0.879395
1508971355388264,-0.286621,-0.45166,0.842285
1508971355410209,-0.286621,-0.39502,0.827148
1508971355428243,-0.375977,-0.32959,0.799805
1508971355448609,-0.285156,-0.306152,0.845703
1508971355470581,-0.0981445,-0.476563,0.854004
1508971355488627,-0.015625,-0.550781,0.844238
1508971355507835,-0.0839844,-0.523926,0.867676
1508971355530882,-0.074707,-0.486328,0.838379
1508971355548961,0.157715,-0.630371,0.836914
1508971355571223,0.275879,-0.708496,0.901855
1508971355590411,0.234863,-0.583496,0.922852
1508971355608314,0.202148,-0.481445,0.939941
1508971355628516,0.296875,-0.414551,0.788086
1508971355651753,0.483887,-0.420898,0.887695
1508971355668663,0.645508,-0.532227,0.847168
1508971355687819,0.678223,-0.478516,0.894531
1508971355711016,0.718262,-0.208008,0.838379
1508971355728928,0.852051,-0.0561523,0.690918
1508971355748135,1.02686,-0.173828,0.652344
1508971355771182,1.2085,-0.172852,0.606934
1508971355788202,1.1123,-0.0737305,0.553711
1508971355809281,1.0293,0.00927734,0.422852
1508971355830314,1.03857,0.0664063,0.400879
1508971355848492,0.990234,0.0512695,0.312012
1508971355869547,0.96875,-0.0258789,0.492676
1508971355890647,0.85791,-0.208496,0.540039
1508971355908798,0.807129,-0.238281,0.464355
1508971355929861,0.836426,-0.204102,0.422363
1508971355953927,0.820801,-0.158691,0.456055
1508971355968067,0.804199,-0.152832,0.487793
1508971355989364,0.801758,-0.144043,0.529785
1508971356010544,0.803223,-0.097168,0.591309
