timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508971343092273,14,2,0,1,0,0,5,32
1508971343092273,-22,1,-2,2,0,0,-11,-49
1508971343093276,-8,-3,-1,0,-2,-1,-1,0
1508971343093276,-17,-5,-4,-4,-1,-1,0,-5
1508971343097420,-3,-1,1,-2,0,-2,-2,-6
1508971343097420,5,0,0,-2,-1,-2,1,12
1508971343099433,0,-2,-3,-4,-2,-3,-2,2
1508971343099433,-2,0,1,1,2,3,0,-5
1508971343104476,-2,1,2,-2,1,-3,-6,-10
1508971343104476,-5,-5,-1,0,-6,-3,4,8
1508971343112518,-3,8,4,3,-8,4,-1,-10
1508971343112518,10,-2,-2,1,2,-2,-1,5
1508971343127513,-6,7,1,0,2,1,-2,-9
1508971343127513,8,-3,-2,-2,5,0,2,6
1508971343133669,7,2,-4,-2,-3,0,2,5
1508971343133669,0,11,0,1,-5,-3,0,-1
1508971343144579,-4,14,3,-5,-3,-1,-2,-2
1508971343144579,8,22,4,2,7,-3,-1,2
1508971343164744,-5,-8,-3,-2,-4,0,-1,-4
1508971343164744,2,2,-1,-5,-2,0,-1,-4
1508971343166608,-1,-11,-5,-1,14,4,0,-7
1508971343166608,-2,-8,1,-5,-26,-6,-3,4
1508971343212726,-1,-4,-2,-7,18,9,0,1
1508971343212726,-2,-2,-3,-8,-10,-6,-1,-3
1508971343213734,0,0,-2,-11,0,-1,-1,1
1508971343213734,1,11,0,-6,-13,-5,-1,0
1508971343216770,-9,-26,-5,18,11,3,0,-4
1508971343216770,0,0,3,-2,-18,-9,3,1
1508971343216770,-2,-7,-2,7,17,3,1,2
1508971343216770,-1,-5,-6,-9,81,6,-9,-10
1508971343224784,1,12,-4,-44,-102,-8,-3,-3
1508971343224784,-1,11,6,34,-6,3,-2,-2
1508971343230824,7,8,6,29,25,7,7,5
1508971343230824,11,15,3,3,-22,4,8,11
1508971343246105,-2,-14,-9,-19,15,-14,-2,2
1508971343246105,-16,-22,-14,-45,-2,-6,-14,-15
1508971343253171,2,12,0,28,0,-3,-2,-2
1508971343253171,8,1,11,16,-16,6,5,5
1508971343262408,0,23,5,28,52,10,1,1
1508971343262408,-3,-24,-8,-36,-20,-5,-3,-4
1508971343284625,-12,-15,-11,-35,43,-9,-8,-8
1508971343284625,-2,-7,-3,-31,-115,-24,1,-4
1508971343286472,-7,-6,-3,60,78,-2,10,6
1508971343286472,4,-1,3,14,73,29,1,3
1508971343298661,-3,0,2,-46,-85,-8,-2,-5
1508971343298661,3,-1,-5,-1,19,-7,-2,1
1508971343306861,4,2,-2,-16,-1,-4,-3,-1
1508971343306861,6,12,11,51,35,11,4,4
1508971343321905,0,-5,-6,19,50,11,-3,-2
1508971343321905,-9,0,-10,-21,-11,-17,3,0
1508971343323769,-4,-30,-2,-18,-83,1,-6,-5
1508971343323769,-1,6,6,23,33,-4,-1,-3
1508971343345110,2,2,-3,-26,-4,-8,1,4
1508971343345110,-1,2,-2,-3,-16,-8,-6,1
1508971343346113,0,10,6,13,-12,19,5,-4
1508971343346113,7,6,5,2,-8,-7,6,5
1508971343358522,-1,0,-3,7,33,-4,-4,-3
1508971343358522,-10,-6,-6,-16,-27,-7,-12,-8
1508971343367419,0,-1,-7,-24,19,-7,-3,-4
1508971343367419,-2,-1,-1,-6,-22,0,-3,0
1508971343382508,3,17,10,9,-96,-11,6,3
1508971343382508,-4,-8,-5,20,127,23,0,-2
1508971343383463,-2,1,4,0,43,-3,-6,-3
1508971343383463,-3,1,-2,-23,-73,-11,3,0
1508971343404558,0,-7,-6,8,54,6,0,-1
1508971343404558,2,-4,0,-14,-36,-12,4,3
1508971343406552,1,4,-2,11,28,0,0,0
1508971343406552,-1,0,-5,-22,29,4,-1,-2
1508971343418574,-1,-3,8,37,-25,-5,-2,1
1508971343418574,2,4,10,27,24,12,6,2
1508971343427577,0,2,-6,-25,-34,-14,-8,-2
1508971343427577,1,-3,-6,-28,-5,-4,-2,1
1508971343441657,0,-1,1,-3,15,10,0,-1
1508971343441657,1,0,6,35,19,1,2,-1
1508971343443620,0,2,0,-15,57,9,-2,-3
1508971343443620,-3,-6,-13,-13,-49,-9,-5,-3
1508971343464717,-2,-4,-1,-2,-25,-3,-4,0
1508971343464717,0,3,10,23,39,18,3,-4
1508971343465678,4,5,7,12,-4,1,5,3
1508971343465678,-3,2,-3,1,38,-3,-4,-3
1508971343477748,-4,-4,-7,-33,-45,-11,-5,-4
1508971343477748,-11,-17,-13,-24,56,11,-5,-8
1508971343486734,6,9,11,46,-111,-1,9,4
1508971343486734,5,5,4,24,56,4,8,8
1508971343501811,-1,1,1,-2,13,-24,-6,-5
1508971343501811,-11,-18,-12,-52,-54,-3,-12,-6
1508971343503777,-1,-3,-5,18,67,13,3,-1
1508971343503777,0,1,1,11,-28,-1,-3,0
1508971343524958,1,1,3,11,45,11,5,-1
1508971343524958,1,1,0,-20,-37,-13,-6,0
1508971343525967,-1,-2,0,-18,-21,-11,-5,-3
1508971343525967,3,3,21,32,-18,2,2,2
1508971343537995,-3,-6,-25,-10,20,9,1,-2
1508971343537995,1,1,0,14,11,5,1,-1
1508971343553033,8,20,22,51,22,-2,6,6
1508971343553033,-5,-13,-20,-78,-52,-15,-4,-3
1508971343562379,-15,-28,-14,-50,-45,0,-13,-12
1508971343562379,7,9,-57,18,25,1,-1,3
1508971343563252,-4,2,75,35,45,8,-1,-2
1508971343563252,-1,-4,-27,3,28,6,4,-3
1508971343584348,-2,-1,-19,31,-4,-6,-6,-4
1508971343584348,-9,-9,9,-47,-41,-12,-3,-7
1508971343586312,-6,-7,-11,-21,-5,-9,-17,-8
1508971343586312,7,12,-29,17,-38,-10,3,6
1508971343598383,8,22,12,30,79,18,7,6
1508971343598383,-2,-15,-23,-15,-37,-5,-1,-4
1508971343607493,0,-3,-16,-34,-4,-9,-10,-3
1508971343607493,-6,-8,8,21,66,1,-4,-5
1508971343622536,14,21,-38,59,-18,14,6,8
1508971343622536,-3,0,103,-30,3,-2,-2,-1
1508971343623503,-12,-14,20,-29,-32,-32,-12,-13
1508971343623503,1,1,-60,-27,-1,34,0,1
1508971343644733,3,-12,-26,26,13,-19,0,4
1508971343644733,-3,13,68,16,-37,-25,-7,-3
1508971343645711,-2,-15,-123,-77,-9,39,-4,-5
1508971343645711,-2,3,25,-5,-4,-22,-20,-4
1508971343658727,2,1,-7,13,-20,-1,7,3
1508971343658727,-6,-7,55,-21,-4,-3,-4,-4
1508971343666899,10,13,-48,58,1,8,19,6
1508971343666899,17,42,38,53,52,17,9,10
1508971343681957,-3,-20,-8,-49,-12,19,13,4
1508971343681957,3,-8,-124,13,7,-38,16,10
1508971343683941,-3,2,-11,-19,-35,16,-45,-7
1508971343683941,-9,-7,27,7,1,7,6,-16
1508971343704995,3,-4,13,3,2,-22,-10,-5
1508971343704995,8,18,-56,47,30,15,17,20
1508971343705977,8,-1,-51,22,24,18,-17,-1
1508971343705977,-7,-6,25,-37,-17,-19,-11,-4
1508971343718045,-12,-14,127,-13,-44,-27,3,-4
1508971343718045,8,-2,-18,20,54,30,7,5
1508971343727029,2,15,-96,-18,-7,25,1,-6
1508971343727029,-22,-28,106,-42,-34,-34,-11,-7
1508971343743074,-5,-28,9,17,5,16,7,-2
1508971343743074,11,26,-60,24,11,-3,-9,-2
1508971343748131,-1,2,46,22,21,0,21,5
1508971343748131,8,6,-105,50,21,15,22,10
1508971343764174,-21,3,52,-77,-34,-19,-27,-15
1508971343764174,2,0,51,5,-14,-8,-8,-5
1508971343766135,-5,-17,2,0,-6,-12,26,7
1508971343766135,1,-2,-79,31,29,40,7,-2
1508971343778213,17,22,-4,-19,-9,-51,-15,17
1508971343778213,-3,-6,50,39,40,92,46,-3
1508971343787192,-34,-23,127,-16,-43,-44,-15,-11
1508971343787192,14,-8,-77,-57,-6,17,-16,-10
1508971343801233,10,13,-93,-4,10,32,23,4
1508971343801233,-14,-12,1,14,-7,-46,-26,-18
1508971343808293,14,34,16,25,12,-24,20,18
1508971343808293,-4,-9,-8,-40,-41,-32,4,-2
1508971343824574,-17,-25,-70,-25,-1,3,-30,-20
1508971343824574,2,-2,-19,-26,-35,-50,-13,1
1508971343826419,6,6,24,55,23,56,3,-1
1508971343826419,13,8,-95,-14,-7,-22,-20,9
1508971343838593,-19,-8,120,19,-3,-10,-2,-11
1508971343838593,9,-1,-30,0,-27,-44,5,14
1508971343847509,14,19,-7,-8,-31,-88,25,15
1508971343847509,-4,-10,-49,-14,43,41,10,0
1508971343861659,13,26,-57,-1,20,37,0,3
1508971343861659,-9,-15,-66,-38,1,89,22,-2
1508971343868651,-2,-21,-4,-9,-16,19,-25,-16
1508971343868651,-17,-10,51,-29,-58,-64,0,-3
1508971343884721,8,27,35,69,10,-53,0,5
1508971343884721,7,3,-45,-23,10,29,-11,-6
1508971343886579,1,-10,-55,-25,3,46,14,-2
1508971343886579,-6,-23,27,27,17,19,-3,-1
1508971343898626,2,-13,-92,-20,-8,1,6,6
1508971343898626,16,18,-20,31,21,-52,-6,10
1508971343907635,-27,-21,67,-48,-20,13,-9,-16
1508971343907635,0,3,7,-3,-11,-16,2,3
1508971343921699,-1,3,-10,-3,14,52,-14,-7
1508971343921699,-6,8,35,16,9,36,-8,-8
1508971343927687,0,-3,-37,-66,-23,-13,-13,-5
1508971343927687,10,29,48,96,-7,-23,4,8
1508971343944863,-3,11,-4,18,59,43,37,5
1508971343944863,-6,-9,24,18,44,38,-51,-13
1508971343945735,3,-14,-52,-8,21,-84,-7,7
1508971343945735,-14,-26,10,-83,-107,-3,-9,-14
1508971343957767,6,-6,34,13,-7,14,3,9
1508971343957767,-5,-9,20,-15,-15,-48,-8,-6
1508971343966793,1,-8,35,51,20,-21,16,6
1508971343966793,5,-15,-41,9,20,27,-5,0
1508971343981873,-1,-19,-3,-3,-17,-57,-3,0
1508971343981873,-13,-14,73,-36,-54,-11,10,-3
1508971343987857,8,13,12,15,-7,-21,-7,-3
1508971343987857,-3,-17,2,-5,19,-20,9,3
1508971344004929,11,44,72,64,22,-18,-7,-1
1508971344004929,-21,-11,-76,-78,-51,-8,-2,-9
1508971344005898,3,34,-30,-8,16,-4,-3,6
1508971344005898,-9,5,87,65,22,30,4,-7
1508971344026954,11,2,-27,-47,-40,-16,0,5
1508971344026954,2,-2,24,35,15,12,13,7
1508971344028960,1,-3,69,29,6,18,11,-5
1508971344028960,3,18,-31,-30,17,-2,17,14
1508971344041154,-1,-13,-9,-21,-38,28,-8,-5
1508971344041154,-9,-3,12,-13,18,-46,5,-6
1508971344048069,4,-11,-18,7,-9,29,-1,3
1508971344048069,3,-2,13,28,21,14,-6,-1
1508971344064098,-16,-21,25,-49,-29,22,4,-12
1508971344064098,8,-8,-40,19,7,-21,-6,6
1508971344066078,4,11,-28,3,9,18,1,0
1508971344066078,-4,15,-6,-8,-11,-10,-12,-10
1508971344087123,-1,-9,-38,19,17,-16,1,5
1508971344087123,10,27,0,14,-8,11,-8,3
1508971344088137,-5,-19,-51,3,29,31,3,-1
1508971344088137,-9,1,105,7,-7,-38,-16,-13
1508971344101193,-13,3,-46,-19,0,56,22,3
1508971344101193,8,-12,22,25,26,7,2,-3
1508971344108185,-1,4,-27,-1,-20,-26,-36,-4
1508971344108185,-5,-7,37,2,16,7,4,-3
1508971344124250,0,2,-16,-2,8,-25,-8,0
1508971344124250,-5,4,-24,0,-1,1,4,2
1508971344126216,5,29,3,-13,-5,2,4,0
1508971344126216,-6,-24,0,-7,15,-19,-3,8
1508971344147317,-3,-11,-46,-21,-1,17,4,-2
1508971344147317,2,0,4,19,3,5,2,2
1508971344148277,-3,5,31,17,6,-50,-2,-3
1508971344148277,2,9,-21,10,9,47,4,1
1508971344160552,-3,-2,25,-17,-7,-56,-3,-5
1508971344160552,0,-8,3,19,-6,39,13,2
1508971344169437,-8,-9,7,-29,-17,-16,-11,-5
1508971344169437,4,13,-5,-5,-16,-81,-23,1
1508971344183694,4,-9,-5,9,7,12,-2,-3
1508971344183694,-7,8,55,-2,-12,-38,-5,-5
1508971344192667,10,-4,14,-7,-3,6,12,5
1508971344192667,-3,-25,2,9,16,43,20,4
1508971344207875,-7,30,-5,1,3,-28,-28,-9
1508971344207875,3,7,-24,-21,-8,-6,14,6
1508971344209713,1,1,-22,-18,-20,2,-3,0
1508971344209713,2,14,-4,14,14,-17,-6,-3
1508971344230038,7,-11,-40,5,13,17,4,4
1508971344230038,-5,4,36,-11,-19,14,-1,-4
1508971344231001,-18,-18,9,-2,-5,5,-6,-9
1508971344231001,6,4,-26,0,9,44,5,0
1508971344243269,-5,11,44,10,-13,11,5,-1
1508971344243269,1,-9,-15,26,12,-18,-13,-1
1508971344252465,2,-9,-11,-7,-2,26,-5,1
1508971344252465,-4,20,43,-23,-32,-39,-2,-3
1508971344267596,-6,-6,1,-34,1,33,8,-4
1508971344267596,-6,-19,-10,0,7,14,-17,-13
1508971344268599,-6,-4,-26,-13,-20,7,9,-1
1508971344268599,4,0,-43,10,26,14,-26,3
1508971344289806,8,5,11,17,5,-2,29,13
1508971344289806,-13,-15,-9,-22,-21,-7,-1,-12
1508971344290662,3,-9,-40,-38,7,-12,15,2
1508971344290662,1,-3,-9,42,16,-4,10,7
1508971344303703,-10,-9,64,-33,-28,-23,-25,-17
1508971344303703,9,14,-32,7,15,16,-2,8
1508971344311862,-3,-10,60,14,-12,-15,5,-2
1508971344311862,-4,2,-24,-16,-22,-8,-6,-4
1508971344326957,4,-11,-37,31,20,-20,3,5
1508971344326957,-1,1,-1,-26,-15,12,5,-1
1508971344328836,-2,-6,9,6,12,0,-2,1
1508971344328836,6,3,0,-21,-25,4,6,0
1508971344349979,-5,-10,23,31,12,0,-3,-1
1508971344349979,1,17,-33,-12,-15,-42,-34,-1
1508971344350892,5,5,-19,6,10,38,15,7
1508971344350892,-5,-6,38,5,-8,3,-8,-9
1508971344363071,2,2,-12,38,11,-32,-26,0
1508971344363071,7,-9,38,-5,11,64,29,3
1508971344371987,-8,4,35,11,-11,-25,-3,-7
1508971344371987,3,3,-20,16,26,34,18,8
1508971344386991,-2,1,3,-10,-7,-7,-12,-5
1508971344386991,8,-4,-16,-1,0,-8,1,3
1508971344388996,-3,4,-34,-16,-14,-21,-7,-5
1508971344388996,-1,4,34,28,3,20,3,-4
1508971344410094,-5,-12,-25,-15,7,11,-1,2
1508971344410094,-1,-5,7,-8,3,-11,-5,0
1508971344411051,3,-13,-41,-2,0,6,-5,-1
1508971344411051,-4,-3,30,-15,-8,-26,-4,-3
1508971344423116,3,0,2,-6,-1,7,9,2
1508971344423116,-8,4,26,-3,-7,-3,-15,-8
1508971344432108,1,-2,2,6,5,16,0,-1
1508971344432108,-1,-3,-2,-13,-16,-5,-5,1
1508971344447295,-4,4,-7,-12,3,9,6,-5
1508971344447295,-7,-13,-6,13,9,36,21,2
1508971344448150,11,18,5,26,6,-7,4,5
1508971344448150,-3,-24,-91,-18,6,8,12,-5
1508971344469204,8,6,14,-4,-10,-4,-1,5
1508971344469204,-9,-4,-37,4,-7,-25,-5,-2
1508971344471223,9,-5,-24,7,25,29,2,2
1508971344471223,-3,2,16,-18,-21,-18,-10,-7
1508971344483334,-2,4,-3,25,15,0,7,0
1508971344483334,-2,0,25,-2,-8,-6,-4,-2
1508971344492265,-1,-5,0,0,0,-4,-8,2
1508971344492265,4,1,-53,2,7,-9,-6,4
1508971344506551,-3,-3,20,-19,-9,-1,-7,-5
1508971344506551,1,5,11,6,-1,5,4,1
1508971344513559,-6,-4,-3,-2,5,-3,-2,-3
1508971344513559,-2,0,14,-6,-3,-1,2,0
1508971344529711,-1,-5,-17,-10,-8,2,3,1
1508971344529711,-2,-2,7,8,5,4,-1,-6
