timestamp,x,y,z
1508971393157868,-11.6875,2.9375,-0.1875
1508971393173279,-6.8125,3.5,1.25
1508971393196875,-0.4375,3.0625,1.6875
1508971393224951,5.3125,4,0.625
1508971393234978,4.5,4,-0.9375
1508971393255034,-2.5,4.8125,-1.25
1508971393280098,-7,7.8125,-0.5
1508971393309175,-8.75,11.1875,0.75
1508971393318199,-16.9375,13,0.375
1508971393331233,-33.3125,18.5625,-1.6875
1508971393354327,-63.75,25.1875,-3.625
1508971393369352,-109,42.25,8.1875
1508971393395432,-153.688,61.25,23.4375
1508971393445537,-180.25,68.5,32.625
1508971393446540,-149.813,83.25,45.75
1508971393453560,-88.375,104.813,64
1508971393472609,-72.1875,129.25,82.3125
1508971393489688,-96.625,142.063,89.25
1508971393519739,-105.063,156.5,100.438
1508971393540859,-71.5,165.75,115.188
1508971393556954,-23.5,171.25,130.563
1508971393587032,-15.25,186.063,142.125
1508971393601110,-34.75,200.563,142.063
1508971393617197,-47.625,201.625,149.313
1508971393640258,-35,187.438,164.563
1508971393661557,-17.4375,173.125,156.313
1508971393676596,8.6875,173.063,144.5
1508971393699664,22.75,172.313,137.563
1508971393722718,40.5,163.25,145.563
1508971393736729,44,164,151.188
1508971393759796,46.3125,168.438,146.063
1508971393782862,31.9375,179.438,148.5
1508971393803908,28.625,178.25,155.25
1508971393819948,27.8125,163.25,136.313
1508971393842130,27.3125,156.875,124.125
1508971393856498,21.8125,139,118.313
1508971393879671,10.0625,112.438,102.625
1508971393902769,-4.6875,80.3125,89.9375
1508971393923788,-13.375,54.0625,72.625
1508971393939830,-24.4375,26.875,57.75
1508971393969908,-22.1875,9.1875,43.6875
1508971393983969,-28.125,-5.5,20.6875
1508971394000005,-28.3125,-15.875,10.125
1508971394022070,-31.3125,-19.8125,1
1508971394043147,-25.75,-15.875,-8.375
1508971394060169,-18.625,-8.9375,-17.9375
1508971394082324,-7.25,-5.3125,-17.5
1508971394103377,-1.4375,-1.25,-15.625
1508971394120422,4.125,1.375,-8.0625
1508971394142481,4.125,5.3125,-5.5
1508971394156517,2.8125,-2.5625,-1
1508971394179606,8.875,-6.875,14.25
1508971394202660,8.9375,-5.0625,21.75
1508971394223725,5,-4.9375,27.125
1508971394247783,0.625,-11.6875,25.6875
1508971394262799,1.0625,-18.9375,23
1508971394283855,8.375,-18.6875,24
1508971394299899,12.0625,-17.3125,22.9375
1508971394321956,13.5625,-20.125,20.5
1508971394343013,14.4375,-22.8125,15.125
1508971394360059,19.3125,-22.75,11.5625
1508971394382117,21.9375,-20.6875,6.75
1508971394403177,30.125,-13.6875,0.5625
1508971394427236,25.6875,-15.25,-7
1508971394448362,20.75,-34.6875,-11.75
1508971394466342,8.5,-50.625,-22.125
1508971394470395,6.625,-47.125,-27.0625
1508971394493449,22.1875,-39.3125,-36.1875
1508971394524649,24.3125,-47.375,-42.6875
1508971394530648,8.6875,-68.8125,-47.875
1508971394552793,-9.0625,-93.125,-55.75
1508971394575830,-32.375,-101.313,-48
1508971394589909,-23.25,-109,-55.25
1508971394612975,-11.9375,-117.688,-68.5625
1508971394635134,-28.4375,-143,-87.75
1508971394650174,-50,-135.688,-80.3125
1508971394673238,-48.6875,-138.188,-83.625
1508971394695291,-53.5625,-143.5,-87.5625
1508971394710214,-75.0625,-158.938,-92.4375
1508971394733359,-82.4375,-169.75,-118.938
1508971394755507,-69.125,-158.688,-140.313
1508971394786555,-18.625,-145.313,-141.813
1508971394800707,6.5625,-152.813,-137.5
1508971394815848,-4.9375,-164.625,-145.563
1508971394830810,-19.125,-145.438,-157.063
1508971394860854,-9.3125,-124.625,-140.438
1508971394875147,-24.125,-125.25,-112.375
1508971394890075,-51.625,-134.188,-120.75
1508971394916115,-53.75,-141.5,-151.813
1508971394944189,-16.5,-128.625,-159.188
1508971394950205,22.9375,-114.125,-139.938
1508971394973312,32.3125,-115.625,-119.438
1508971394995547,7.375,-124.75,-116.25
1508971395010582,-4.5,-106.938,-119.688
1508971395032860,24.375,-83,-104.188
1508971395055784,64.4375,-69.9375,-66.6875
1508971395078365,70.5,-65.125,-40.9375
1508971395092515,44.875,-47.125,-15.125
1508971395115782,30.5625,-38.25,2.375
1508971395132046,35.5,-9.875,18.125
1508971395153296,27.375,-0.0625,26
1508971395175769,23.375,-0.875,11.25
1508971395191997,9.1875,5.8125,1
1508971395213049,-1.3125,6.9375,2.125
1508971395235657,-3.5,9.4375,3.125
1508971395251668,-8.25,6.8125,8.375
