timestamp,x,y,z,w
1508971339526259,0.377991,0.288513,0.480896,-0.736633
1508971339541299,0.378113,0.288513,0.481079,-0.73645
1508971339563447,0.378113,0.288513,0.481079,-0.73645
1508971339585476,0.378113,0.288513,0.481079,-0.73645
1508971339600515,0.377869,0.288452,0.481506,-0.736267
1508971339624580,0.378296,0.288086,0.481934,-0.735962
1508971339645782,0.378845,0.287598,0.482239,-0.735657
1508971339701971,0.379028,0.287354,0.482178,-0.735718
1508971339703934,0.37854,0.287476,0.481873,-0.736084
1508971339704906,0.37793,0.287903,0.481384,-0.736572
1508971339715145,0.37738,0.288391,0.480896,-0.737
1508971339736435,0.37677,0.289001,0.480408,-0.737366
1508971339751602,0.375977,0.289917,0.47998,-0.737732
1508971339775647,0.374512,0.291443,0.47876,-0.738586
1508971339813763,0.372314,0.294006,0.476929,-0.739868
1508971339818770,0.369263,0.297485,0.474365,-0.741699
1508971339833814,0.366699,0.300476,0.472168,-0.743164
1508971339856868,0.366211,0.300903,0.471985,-0.743286
1508971339870763,0.369324,0.29834,0.474731,-0.741089
1508971339893177,0.375488,0.29248,0.477966,-0.73822
1508971339916253,0.38385,0.280457,0.479614,-0.737488
1508971339931365,0.388184,0.266663,0.47821,-0.741272
1508971339953653,0.38562,0.253784,0.475769,-0.748657
1508971339975806,0.381775,0.238708,0.473389,-0.757019
1508971339991156,0.381104,0.220947,0.469727,-0.765015
1508971340013213,0.380615,0.198364,0.4646,-0.774536
1508971340036164,0.381653,0.172241,0.458374,-0.783936
1508971340051218,0.381592,0.144409,0.452026,-0.793213
1508971340073366,0.376953,0.117615,0.445374,-0.803528
1508971340095652,0.366943,0.0911255,0.435791,-0.816772
1508971340118761,0.356079,0.0633545,0.421875,-0.831421
1508971340135725,0.347412,0.0333252,0.404663,-0.845276
1508971340156145,0.341125,0.0010376,0.385559,-0.8573
1508971340178260,0.332275,-0.0281372,0.36554,-0.869019
1508971340196323,0.315491,-0.055481,0.346863,-0.881531
1508971340215487,0.293823,-0.083374,0.330872,-0.892883
1508971340247536,0.268005,-0.110962,0.314453,-0.90387
1508971340253442,0.242126,-0.137573,0.299133,-0.912659
1508971340275692,0.216125,-0.165283,0.284302,-0.919312
1508971340298778,0.190979,-0.19342,0.270325,-0.923645
1508971340313115,0.168091,-0.220642,0.256775,-0.925842
1508971340336028,0.146423,-0.24353,0.244995,-0.927002
1508971340358227,0.125122,-0.263062,0.23645,-0.926941
1508971340373269,0.105408,-0.280884,0.231262,-0.925476
1508971340395566,0.0869751,-0.297668,0.227783,-0.923035
1508971340418640,0.0726929,-0.312683,0.225403,-0.919861
1508971340433680,0.0643921,-0.321167,0.226807,-0.917236
1508971340455732,0.0610962,-0.326538,0.230591,-0.914612
1508971340478738,0.0612183,-0.3302,0.235046,-0.91217
1508971340493706,0.0632935,-0.330994,0.238159,-0.91095
