timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508971509612919,3,-20,-3,-3,5,4,2,0
1508971509612919,-1,-3,-4,-13,-26,6,-3,-3
1508971509620071,-11,2,-2,0,-3,-2,-2,-2
1508971509620071,-5,-8,0,13,15,0,3,-2
1508971509622107,3,1,-3,-2,10,-7,3,3
1508971509622107,7,22,3,2,-7,-3,6,2
1508971509624084,-13,-15,-8,0,0,5,-5,-5
1508971509624084,1,-6,-5,-9,-7,-3,-6,-6
1508971509625087,-3,10,-1,-8,-9,-2,-5,-4
1508971509625087,-2,-13,-10,-7,52,3,-3,-2
1508971509640515,8,16,3,-23,-102,-33,1,4
1508971509640515,1,7,17,32,11,11,0,1
1508971509648567,36,4,-12,17,25,13,6,5
1508971509648567,-42,13,8,5,21,1,-3,-7
1508971509654585,-16,-21,-11,-3,97,10,-5,-6
1508971509654585,-8,-39,-12,-39,-105,-21,-21,-5
1508971509669624,7,1,21,10,-15,-2,11,4
1508971509669624,8,-2,7,33,27,1,41,11
1508971509687671,16,7,3,1,62,18,-8,-1
1508971509687671,-9,7,-9,-10,-45,-10,-16,4
1508971509689713,-12,-13,-2,-16,-16,6,2,-11
1508971509689713,23,5,-7,-5,-6,-1,7,4
1508971509706769,-3,14,3,11,-9,-27,-78,-14
1508971509706769,1,-11,15,10,59,22,107,26
1508971509748837,15,-1,44,13,36,28,58,13
1508971509748837,-41,-22,-12,16,12,-10,-12,-12
1508971509749840,-2,13,-3,1,-26,-22,-81,-12
1508971509749840,17,11,-43,-20,18,-14,21,0
1508971509752844,12,9,8,-3,-45,28,99,27
1508971509752844,4,-3,7,4,-10,-12,-95,-27
1508971509753847,-33,3,-1,20,30,28,91,16
1508971509753847,-41,-42,-28,-19,1,-13,-39,-19
1508971509754849,47,9,-6,-33,-25,-28,-73,-6
1508971509754849,-28,2,-10,9,14,-2,17,0
1508971509767043,22,-3,9,7,14,-12,-90,-3
1508971509767043,15,16,10,0,-14,44,71,21
1508971509774940,-15,-2,-11,13,-23,-17,-29,-5
1508971509774940,22,10,2,-11,-10,10,16,12
1508971509783073,8,-5,13,5,-12,-19,-27,-5
1508971509783073,-23,-6,17,6,9,24,46,-1
1508971509798115,5,-1,-27,-11,25,-9,-15,-10
1508971509798115,-18,-25,-3,-18,-24,-15,-7,-3
1508971509812341,1,6,-1,-10,-19,5,27,-1
1508971509812341,13,-1,2,22,68,-1,-26,-2
1508971509813253,-10,18,-4,-3,-67,-14,-17,-5
1508971509813253,26,14,15,16,7,-1,7,2
1508971509835429,-11,-20,-43,-56,4,3,41,2
1508971509835429,-3,2,14,16,-51,-22,-50,-7
1508971509836280,-25,-25,-4,24,79,4,-29,-17
1508971509836280,11,9,-5,-12,-24,9,17,8
1508971509858480,7,5,15,39,-5,6,56,5
1508971509858480,7,17,62,-9,-6,-15,-13,3
1508971509859344,-12,-14,-39,-56,8,-7,1,-1
1508971509859344,7,-1,13,0,-22,8,-6,-5
1508971509872375,0,-2,8,1,11,4,7,1
1508971509872375,-1,-4,-2,18,-21,-9,-11,-2
1508971509873378,-6,2,13,4,3,-4,12,2
1508971509873378,4,0,-12,10,40,6,-16,-1
1508971509895605,5,0,-6,11,5,-5,-12,-1
1508971509895605,5,1,-5,12,4,8,11,0
1508971509895605,-6,-3,9,-8,-16,-7,-19,-5
1508971509895605,-3,-4,-34,-33,-6,-8,9,1
1508971509918755,0,8,23,-4,-11,5,-1,-2
1508971509918755,1,-6,12,17,10,3,-3,-3
1508971509918755,-11,-5,0,0,1,0,-8,-5
1508971509918755,7,15,44,22,-3,4,19,5
1508971509932777,3,2,3,0,10,8,-1,-3
1508971509932777,-5,-16,-86,-54,-14,-8,-12,-4
1508971509933669,-1,1,13,27,4,8,9,1
1508971509933669,-4,-12,-56,-29,-6,-5,11,0
1508971509965014,-2,-2,34,27,14,-2,-4,-2
1508971509965014,4,5,5,-18,-15,7,-5,1
1508971509965895,-1,-3,-26,12,27,5,0,-1
1508971509965895,9,23,75,30,-16,4,13,6
1508971509978068,-10,-18,-113,-47,-11,-19,-7,-6
1508971509978068,-9,-16,31,-26,-34,-9,-12,-6
1508971509978954,-1,6,56,14,12,-2,3,0
1508971509978954,1,-6,-13,-6,6,1,10,2
1508971509992962,4,6,19,36,1,4,8,2
1508971509992962,1,11,-6,16,23,7,1,-1
1508971509992962,-3,-4,15,-27,-29,-17,-12,-2
1508971509992962,-6,-17,-56,15,12,4,1,-1
1508971510015166,-2,-4,-27,-29,14,9,-7,-3
1508971510015166,-2,-1,30,-5,-23,-22,-3,-4
1508971510016023,5,9,8,25,-1,14,7,3
1508971510016023,3,2,-6,4,4,-16,4,0
1508971510038100,-1,3,28,0,9,7,-5,-2
1508971510038100,0,3,18,-16,-7,5,-1,0
1508971510039084,-4,-3,-9,-6,2,-1,-7,-3
1508971510039084,-2,-1,40,0,-5,0,3,1
1508971510052263,-1,-10,-74,-23,-10,2,-4,-2
1508971510052263,6,14,-21,30,20,0,-7,2
1508971510053126,-9,-23,-14,-32,-19,-10,-38,-14
1508971510053126,-3,-1,56,3,-14,-4,47,11
1508971510075571,-3,-4,19,-35,-22,-9,-4,-2
1508971510075571,7,12,-17,18,18,6,14,5
1508971510075571,0,-2,-55,11,2,-15,-17,-2
1508971510075571,0,-1,-11,2,16,3,-18,-6
1508971510098762,-5,-1,75,-13,-31,-11,6,-1
1508971510098762,-4,-7,-40,-10,-1,-7,-11,-5
1508971510098762,6,14,9,13,13,10,19,7
1508971510098762,3,5,-42,0,17,6,-47,-7
1508971510112889,7,13,70,61,19,15,0,6
1508971510112889,-6,-4,41,-16,7,17,32,3
1508971510113745,-5,-22,-81,-31,-29,-19,19,3
1508971510113745,7,4,-74,-34,1,14,15,7
1508971510134948,-9,-2,99,10,-5,-18,-32,-8
1508971510134948,13,20,-15,24,7,-7,-49,5
1508971510135808,-15,-13,13,-12,13,31,14,-9
1508971510135808,17,16,0,40,14,32,96,38
1508971510158865,-7,-19,-61,-33,-2,0,-13,-7
1508971510158865,9,14,-16,27,-9,2,29,7
1508971510158865,-10,-21,24,-35,-34,-53,-26,-13
1508971510158865,-4,-4,77,-7,-2,-16,-33,-12
1508971510172138,2,5,-18,27,2,-12,-5,2
1508971510172138,-9,-16,8,-30,-5,8,7,-6
1508971510180381,11,19,25,58,15,11,-8,8
1508971510180381,-12,2,-71,-59,-12,-10,-14,-19
1508971510195297,-2,-13,19,-4,6,20,2,-1
1508971510195297,4,7,14,3,-20,-33,-15,1
1508971510196270,-3,5,16,36,18,17,8,-7
1508971510196270,-1,12,81,35,-9,-1,2,-6
1508971510217348,12,18,23,54,23,-18,-92,1
1508971510217348,-3,-14,-28,-46,-10,3,88,13
1508971510218324,6,-4,-54,0,35,36,-5,2
1508971510218324,-6,8,92,51,13,15,-17,-8
1508971510232388,-2,-6,-52,11,-20,-47,-67,-16
1508971510232388,-5,-8,-1,32,4,78,19,-3
1508971510240410,2,15,50,88,9,-12,-30,-4
1508971510240410,2,-9,9,-51,-28,-49,77,28
1508971510255600,8,21,1,48,14,3,50,16
1508971510255600,1,-1,102,-11,11,12,-2,23
1508971510255600,-12,6,-1,-40,-5,52,14,-32
1508971510255600,5,-7,-59,48,28,-24,44,21
1508971510277651,-13,1,105,13,10,66,-12,-15
1508971510277651,-5,-37,-126,-65,-12,-64,-39,-8
1508971510278500,2,-8,72,4,-4,18,-22,12
1508971510278500,-10,-11,-16,-18,9,30,-55,-22
1508971510291722,8,-7,-42,-38,-57,-18,33,4
1508971510291722,-1,-7,-51,61,100,41,-5,-3
1508971510300042,-23,-17,40,-71,-45,-8,-6,-11
1508971510300042,5,10,-15,29,-10,-4,-7,3
1508971510314936,0,-3,-19,-22,-4,1,-1,-2
1508971510314936,-6,-1,-25,-10,-5,-43,-61,-30
1508971510315939,-12,-12,-78,7,24,50,90,19
1508971510315939,-4,-3,21,-19,-13,13,-63,-27
1508971510337997,-3,2,-61,5,17,31,58,6
1508971510337997,40,56,127,91,5,-82,-76,0
1508971510337997,-15,3,-59,-2,-27,-2,80,27
1508971510337997,-9,5,36,32,5,-19,24,-4
1508971510352034,-8,-7,-3,-37,0,80,-14,-5
1508971510352034,-6,-11,4,43,15,26,11,-7
1508971510360086,16,1,-11,5,-30,-90,-68,4
1508971510360086,13,3,-75,-36,28,30,-20,-1
1508971510375124,-9,2,22,-29,-26,-66,6,-5
1508971510375124,-19,-42,-32,-42,-27,13,-12,-6
1508971510376129,10,14,73,-20,-20,-7,-8,-2
1508971510376129,1,-14,-17,18,40,-39,-39,-4
1508971510397183,3,0,-26,-9,18,18,-1,3
1508971510397183,0,4,-24,12,9,30,32,11
1508971510398158,16,19,27,39,56,27,6,-3
1508971510398158,-32,-57,-64,-85,-50,-55,-31,-28
1508971510412195,4,8,7,41,-9,-23,40,14
1508971510412195,-12,4,32,-22,-52,-25,-24,-14
1508971510420217,15,-1,-46,26,55,2,11,7
1508971510420217,-15,16,69,14,-13,-31,-128,-42
1508971510435256,12,6,-46,13,27,52,73,37
1508971510435256,-31,-6,92,-32,-44,7,45,2
1508971510436271,11,-21,-98,-13,-8,6,-62,-12
1508971510436271,14,18,-7,-1,-2,34,26,24
1508971510457314,-6,-4,-5,58,29,8,-76,-34
1508971510457314,-1,5,-48,-60,-18,-11,1,6
1508971510458317,4,8,41,10,-4,-41,11,3
1508971510458317,4,8,-17,16,1,27,20,10
1508971510472356,-5,-21,-23,-63,-29,-73,1,6
1508971510472356,6,6,-1,41,26,24,-1,-4
1508971510480376,-1,6,-23,-41,-34,-20,4,6
1508971510480376,5,2,11,0,-18,10,8,0
1508971510495416,2,-10,-35,-17,46,-11,-10,-2
1508971510495416,-8,-14,-75,-30,2,-28,-23,-23
1508971510495416,-8,0,20,1,-23,18,29,14
1508971510495416,-2,-10,-33,-12,0,2,38,17
1508971510517475,1,13,19,-14,-11,38,-27,-9
1508971510517475,1,-6,34,26,-16,-38,-20,-6
1508971510518478,-3,12,-9,-56,19,12,-23,-21
1508971510518478,-7,-12,10,11,-7,-3,-7,11
1508971510531513,-8,-18,-34,-56,-25,-31,21,2
1508971510531513,4,6,-39,-1,14,5,8,15
1508971510539534,-9,-7,-13,20,9,48,-14,-11
1508971510539534,5,10,-20,24,2,-8,-7,0
1508971510554574,4,5,9,-11,1,-10,20,21
1508971510554574,-12,-13,-28,-64,-41,-19,-17,-17
1508971510555578,3,-4,-6,-3,-13,-45,-9,7
1508971510555578,-6,-11,11,38,28,30,26,-8
1508971510577637,1,-3,1,52,2,-10,-7,-4
1508971510577637,15,23,16,10,11,14,-3,15
1508971510578643,-13,-26,-77,-68,-26,-42,8,-3
1508971510578643,-5,-4,41,-7,4,24,22,-6
1508971510600698,-1,-3,13,4,-13,0,-26,-9
1508971510600698,7,5,-49,6,8,25,52,21
1508971510601700,-2,10,111,31,5,-14,-35,-17
1508971510601700,-4,3,-9,-38,-23,-43,-28,0
1508971510614796,-8,3,-52,-9,-20,-11,0,2
1508971510614796,12,8,66,33,20,45,11,1
1508971510615774,2,4,38,71,6,-4,0,3
1508971510615774,-2,-19,-57,-36,8,-6,-18,-8
1508971510637879,8,16,1,58,34,4,16,-4
1508971510637879,-11,-2,53,-48,-49,-48,-27,-8
1508971510638804,1,7,11,27,12,26,47,10
1508971510638804,5,2,13,-1,-6,10,6,14
1508971510660985,11,-11,24,43,16,-10,-1,-3
1508971510660985,4,10,-46,36,15,6,6,7
1508971510661861,-12,-36,-72,-117,-39,-9,-69,-26
1508971510661861,-1,13,27,30,-4,13,56,24
1508971510675237,0,-15,-34,-19,-16,-20,6,6
1508971510675237,-6,-5,22,11,12,19,17,-7
1508971510676097,8,15,4,55,21,-5,-4,2
1508971510676097,9,-1,-29,-41,-6,-23,2,3
1508971510698185,-10,-2,34,-51,-18,2,16,-3
1508971510698185,1,-6,4,-1,-6,-18,22,2
1508971510698185,1,4,-23,12,9,32,10,1
1508971510698185,-2,-2,42,-1,-21,-9,-3,-5
1508971510721242,2,14,3,22,7,-3,-45,-10
1508971510721242,-4,-8,-46,-21,-8,-19,13,2
1508971510722216,2,3,25,5,-8,7,1,6
1508971510722216,-2,3,26,11,-6,-3,-13,-5
1508971510743409,3,-13,-8,10,9,9,60,4
1508971510743409,-2,5,-20,-3,5,24,-8,-2
1508971510745316,12,1,-21,-2,3,-15,-3,5
1508971510745316,16,22,-55,7,21,12,-7,5
1508971510757453,-18,-3,35,-30,-29,-6,-24,-16
