timestamp,x,y,z
1508971722360671,0.5625,-0.6875,1.9375
1508971722377143,7.1875,3.0625,3.6875
1508971722397555,16.5,7,7
1508971722420641,29.1875,5.5625,12.4375
1508971722444651,37,8.4375,16.8125
1508971722458689,28.875,15.6875,11
1508971722480784,-26.0625,24.3125,15.125
1508971722526981,-51.9375,38.5,37.9375
1508971722526981,29.75,54.8125,40.9375
1508971722541068,107.625,87.4375,51.9375
1508971722558068,81.8125,105.688,78.75
1508971722580464,-34.6875,112.688,93.9375
1508971722601732,-106.813,112.75,98.25
1508971722616816,-82.875,115.188,111.813
1508971722652961,-21.875,118.063,129.5
1508971722663008,9.8125,119.813,138.5
1508971722677018,7.1875,112.75,139.938
1508971722698340,-16.625,103.188,147.625
1508971722720452,-19.6875,94.625,164.625
1508971722738475,-12.8125,86.9375,181.813
1508971722758525,10.3125,77.6875,179.188
1508971722780729,22.25,70.125,166.688
1508971722805680,35.5,74.9375,160.563
1508971722817836,47.5625,95.8125,131.125
1508971722840904,38.25,108.313,123.313
1508971722857867,26.25,100.375,115.563
1508971722877953,17.875,103.75,108.5
1508971722899977,29.1875,108.625,102.125
1508971722918026,34.375,108.938,89.75
1508971722938107,22.875,103.938,86.125
1508971722960232,32.375,102.313,75.5625
1508971722983288,52.625,102.813,66.625
1508971722998328,53.875,95.1875,56.1875
1508971723020325,45.5625,89.1875,47.1875
1508971723042491,38.3125,82.5,34.875
1508971723058520,43,82.9375,25.125
1508971723081815,48.25,77.0625,22.9375
1508971723103038,40.625,62.25,21.9375
1508971723118196,13.25,49.75,17
1508971723140241,-1.125,40.6875,16.5
1508971723163306,-6.125,23.8125,11.375
1508971723178332,-10.4375,10.625,5.9375
1508971723200405,-20,4.4375,-0.375
1508971723223478,-35.9375,-8.625,0.0625
1508971723237687,-48.5,-21.5625,-10.0625
1508971723260865,-43.75,-22.5625,-24.75
1508971723283127,-30.5,-11.4375,-27.0625
1508971723299023,-22.5625,-12.625,-25.3125
1508971723320102,-23.5625,-17.375,-11.625
1508971723343180,-13.8125,-14,-10
1508971723361221,-7.0625,-1.875,-8.9375
1508971723380389,12.5,8.3125,-4.1875
1508971723403306,15.0625,5.4375,1.125
1508971723419348,4.8125,-1.8125,9.125
1508971723440539,5,1.6875,16.125
1508971723463497,14.5625,7.1875,19.5625
1508971723479614,11.5,-0.8125,20
1508971723500822,-1.375,-16.625,15.0625
1508971723522901,-5.1875,-24.5625,9.4375
1508971723539775,-2.5625,-28.5625,1.3125
1508971723560001,-3.9375,-34.625,-9.875
1508971723583206,-9,-53.375,-21.625
1508971723602339,-24.25,-79.6875,-28.5625
1508971723620414,-29.8125,-95.1875,-31.625
1508971723643582,-32.4375,-98.875,-40.75
1508971723659493,-23.125,-101.313,-46.5
1508971723682751,-8.3125,-111.125,-59
1508971723703973,-18.9375,-127.938,-71.375
1508971723720111,-35.6875,-139.25,-83.75
1508971723742164,-26.25,-140.375,-97.1875
1508971723763266,-4.8125,-144.688,-106.688
1508971723779265,-0.75,-145.063,-121.125
1508971723802439,5.5625,-133.938,-131.875
1508971723823627,0.0625,-128.125,-140.5
1508971723846592,-6.5625,-119.313,-144.125
1508971723862615,-16.5,-112.25,-143.875
1508971723883918,-23,-104.813,-139.813
1508971723905984,-32.3125,-105.938,-144.438
1508971723923878,-47.75,-108.188,-150.5
1508971723950948,-48.875,-101.438,-153.875
1508971723965988,-39.6875,-96.4375,-151.125
1508971723982074,-27.4375,-101.063,-144.938
1508971724003087,-13.5,-102.625,-142.438
1508971724026148,-13.5,-96.9375,-129.188
1508971724042192,-22.8125,-82.875,-113.813
1508971724063248,-20.4375,-78.5,-101.688
1508971724086310,-21.875,-78.0625,-92.4375
1508971724102351,-32.625,-71.5,-87.875
1508971724123410,-25.125,-61.5,-81.125
1508971724145470,10.0625,-48.625,-68.125
1508971724162512,43.3125,-37.6875,-48.75
1508971724192594,37.6875,-28,-27.3125
1508971724205656,11.4375,-24.25,-17.1875
1508971724222673,-8.5625,-16.1875,-9.9375
1508971724244841,-13.3125,-8.3125,-7
1508971724266078,-6.875,8.6875,3.4375
