timestamp,x,y,z,w
1508971586529050,0.305359,0.379944,0.381409,-0.785461
1508971586559129,0.304688,0.379456,0.382263,-0.785522
1508971586566148,0.30426,0.378784,0.382996,-0.785645
1508971586590440,0.304016,0.378235,0.383545,-0.785767
1508971586611962,0.303589,0.377686,0.384155,-0.785889
1508971586626685,0.30304,0.376953,0.384766,-0.786133
1508971586650370,0.30304,0.376892,0.384705,-0.786194
1508971586704504,0.302002,0.37738,0.384216,-0.78656
1508971586705501,0.303223,0.376099,0.384705,-0.786499
1508971586712525,0.305603,0.372375,0.386169,-0.786621
1508971586726595,0.310364,0.365112,0.38739,-0.787598
1508971586747776,0.31604,0.355652,0.386169,-0.790222
1508971586769671,0.319275,0.343262,0.384277,-0.795349
1508971586784923,0.322632,0.325134,0.38269,-0.802368
1508971586823025,0.328125,0.299377,0.380859,-0.810913
1508971586832048,0.33197,0.270447,0.376892,-0.82135
1508971586844323,0.334717,0.239319,0.370728,-0.832642
1508971586867500,0.3349,0.207153,0.363037,-0.844482
1508971586889456,0.329895,0.174438,0.353943,-0.857605
1508971586904452,0.324219,0.139648,0.342896,-0.870483
1508971586926876,0.321716,0.102539,0.330444,-0.881348
1508971586948926,0.319214,0.0652466,0.314636,-0.891541
1508971586971885,0.312744,0.0304565,0.293518,-0.902832
1508971586986101,0.301514,-0.00158691,0.269287,-0.914673
1508971587009383,0.28479,-0.0306396,0.246094,-0.925964
1508971587024588,0.266357,-0.0610352,0.226257,-0.934998
1508971587046882,0.247986,-0.0935059,0.207642,-0.94165
1508971587069024,0.229065,-0.125732,0.190491,-0.946289
1508971587083968,0.211548,-0.157349,0.174255,-0.948792
1508971587109019,0.19519,-0.18634,0.160522,-0.949463
1508971587129267,0.177368,-0.214233,0.146484,-0.949341
1508971587144284,0.161499,-0.241211,0.132874,-0.947693
1508971587166534,0.148682,-0.265015,0.121094,-0.945007
1508971587189483,0.137024,-0.28418,0.111938,-0.942322
1508971587203705,0.127258,-0.298462,0.105591,-0.940002
1508971587227005,0.120117,-0.308533,0.101501,-0.938171
1508971587249070,0.120667,-0.312378,0.0959473,-0.937378
1508971587264247,0.123657,-0.311279,0.0887451,-0.93811
1508971587286342,0.13269,-0.306519,0.0806274,-0.939148
1508971587308542,0.148071,-0.297058,0.0759277,-0.940308
1508971587324472,0.164124,-0.285828,0.0765991,-0.94104
1508971587346847,0.177917,-0.275879,0.0805054,-0.941162
1508971587369065,0.190674,-0.265503,0.0848999,-0.941284
1508971587385028,0.202637,-0.256836,0.0891113,-0.940796
1508971587406197,0.210205,-0.252563,0.0927124,-0.939941
1508971587429284,0.212952,-0.252502,0.0947876,-0.939148
1508971587447317,0.213135,-0.254211,0.0960693,-0.938477
1508971587466520,0.211609,-0.256226,0.0959473,-0.938293
1508971587489443,0.206543,-0.260376,0.0939331,-0.938477
1508971587504469,0.202148,-0.266235,0.0894775,-0.938232
1508971587526559,0.198425,-0.270752,0.0846558,-0.938171
1508971587548611,0.195129,-0.273682,0.0803833,-0.938416
1508971587563622,0.191528,-0.277039,0.0764771,-0.938477
1508971587586692,0.1875,-0.280823,0.0723877,-0.938538
1508971587608741,0.185242,-0.283386,0.0680542,-0.938538
1508971587623809,0.183838,-0.284424,0.0647583,-0.938721
1508971587645866,0.18219,-0.284851,0.0630493,-0.939026
1508971587668901,0.180725,-0.285583,0.0625,-0.939087
1508971587690959,0.178955,-0.286011,0.062439,-0.939331
1508971587706000,0.178833,-0.284302,0.0622559,-0.93988
1508971587729061,0.179749,-0.281067,0.0629883,-0.940613
1508971587751120,0.179504,-0.278015,0.0646362,-0.941467
1508971587766160,0.178406,-0.274902,0.0671997,-0.942383
1508971587789222,0.179504,-0.267517,0.071167,-0.944031
1508971587811281,0.185974,-0.254089,0.0750122,-0.946167
1508971587826363,0.194885,-0.235779,0.0795288,-0.94873
1508971587848425,0.203247,-0.214661,0.0852661,-0.951538
1508971587871483,0.213379,-0.190125,0.0933838,-0.953735
1508971587886522,0.224792,-0.163513,0.103638,-0.955017
1508971587908611,0.237366,-0.134644,0.11731,-0.954895
1508971587931758,0.251648,-0.104675,0.133484,-0.95282
1508971587946949,0.263916,-0.074646,0.15271,-0.949463
1508971587969981,0.270691,-0.0442505,0.174194,-0.94574
1508971588000216,0.278503,-0.0140381,0.194214,-0.940491
1508971588006225,0.292053,0.0137329,0.214172,-0.932007
1508971588032146,0.304749,0.0383301,0.236877,-0.921692
1508971588054395,0.312378,0.062561,0.258972,-0.911865
1508971588066806,0.317322,0.0878906,0.278198,-0.902344
1508971588088858,0.327148,0.111694,0.296692,-0.890198
1508971588111869,0.335754,0.134155,0.315796,-0.877258
1508971588134007,0.338013,0.154297,0.330383,-0.867615
1508971588149215,0.336792,0.170532,0.342102,-0.860474
1508971588171372,0.339355,0.186157,0.355408,-0.850769
1508971588186551,0.346008,0.203613,0.367859,-0.838745
1508971588208749,0.349487,0.226074,0.376404,-0.827698
1508971588231829,0.345337,0.25415,0.381897,-0.818726
1508971588247939,0.337036,0.285034,0.385681,-0.810242
1508971588268991,0.329529,0.315002,0.388672,-0.800659
1508971588291074,0.324158,0.342041,0.391968,-0.7901
1508971588308096,0.319275,0.365112,0.394958,-0.780212
1508971588329344,0.313416,0.390991,0.393616,-0.770691
1508971588351307,0.306885,0.412842,0.39032,-0.76355
1508971588368411,0.298889,0.429199,0.386108,-0.759827
1508971588388595,0.289612,0.439575,0.383362,-0.758911
