timestamp,x,y,z
1508971872562560,0.866699,-0.236328,0.442383
1508971872584200,0.860352,-0.216309,0.460938
1508971872599338,0.84375,-0.209473,0.461426
1508971872623402,0.866699,-0.228027,0.442871
1508971872644546,0.85791,-0.233887,0.44873
1508971872659587,0.859375,-0.227051,0.453125
1508971872683657,0.869629,-0.226563,0.463379
1508971872713706,0.881348,-0.212402,0.478516
1508971872722727,0.903809,-0.14502,0.445801
1508971872743839,0.906738,0.0419922,0.372559
1508971872764981,0.948242,-0.0180664,0.35498
1508971872779970,0.996582,-0.198242,0.351563
1508971872802944,0.971191,-0.333984,0.368164
1508971872849224,0.928223,-0.355957,0.410156
1508971872850091,0.9375,-0.432129,0.407715
1508971872862239,0.971191,-0.395996,0.414551
1508971872885305,0.949707,-0.51709,0.48877
1508971872907218,0.931641,-0.480957,0.591309
1508971872923452,0.889648,-0.488281,0.615234
1508971872944778,0.783691,-0.512695,0.672363
1508971872960864,0.660645,-0.602051,0.700684
1508971872983922,0.574219,-0.705078,0.746582
1508971873004980,0.470215,-0.727051,0.839844
1508971873021024,0.294922,-0.73291,0.702148
1508971873044109,0.103516,-0.770508,0.737305
1508971873066185,0.111816,-0.834961,0.809082
1508971873081180,0.0585938,-0.76123,0.831543
1508971873104244,-0.0893555,-0.763184,0.850586
1508971873126303,-0.165039,-0.746094,0.824707
1508971873147498,-0.113281,-0.785645,0.907715
1508971873163398,-0.143555,-0.896484,0.852539
1508971873186462,-0.159668,-0.854492,0.793457
1508971873207541,-0.225586,-0.987793,0.810547
1508971873223561,-0.0849609,-0.964355,0.723145
1508971873246623,0.160156,-0.758789,0.692871
1508971873267846,0.0200195,-0.540039,0.574707
1508971873283716,-0.224121,-0.57373,0.480469
1508971873306780,-0.409668,-0.525391,0.435059
1508971873327857,-0.359863,-0.319824,0.348633
1508971873343877,-0.489258,-0.398926,0.42334
1508971873365970,-0.538574,-0.582031,0.441406
1508971873386992,-0.396973,-0.497559,0.47168
1508971873404041,-0.540527,-0.456543,0.450195
1508971873426097,-0.498047,-0.45752,0.473633
1508971873447291,-0.551758,-0.53125,0.510742
1508971873464232,-0.61377,-0.560059,0.540039
1508971873486258,-0.680176,-0.554199,0.541992
1508971873507661,-0.677734,-0.54248,0.55957
1508971873523597,-0.689941,-0.504395,0.562988
1508971873546622,-0.697754,-0.539063,0.577148
1508971873574926,-0.741211,-0.536621,0.600098
1508971873583927,-0.71582,-0.523438,0.598633
1508971873606104,-0.688965,-0.523926,0.630371
1508971873627042,-0.697266,-0.539063,0.625977
1508971873644087,-0.661621,-0.541504,0.638184
1508971873666177,-0.633789,-0.537598,0.643066
1508971873687199,-0.577148,-0.562012,0.653809
1508971873704244,-0.540527,-0.595703,0.658203
1508971873726301,-0.474121,-0.605469,0.669434
1508971873747737,-0.384766,-0.602539,0.693848
