timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508971935728079,5,7,-4,-14,20,3,6,8
1508971935728079,-2,-16,-2,-15,-66,-1,-2,-3
1508971935729015,1,-1,4,16,31,6,0,-5
1508971935729015,10,5,6,15,-17,1,3,4
1508971935730018,-9,-5,-1,2,11,2,1,4
1508971935730018,-1,1,2,5,21,-11,-1,3
1508971935731021,-4,-6,-17,-23,-4,12,0,-4
1508971935731021,-5,-11,-11,17,73,-4,-1,-5
1508971935735216,4,-2,-2,-31,-100,-8,-4,2
1508971935735216,-3,3,-3,-3,70,1,-2,-3
1508971935743379,-4,-2,6,-9,-83,-20,-3,-1
1508971935743379,2,8,6,25,59,16,7,7
1508971935757565,-1,-2,-3,22,-7,-9,-14,-8
1508971935757565,-3,-1,-5,-31,5,-3,10,2
1508971935765576,-1,0,-3,1,3,-16,-31,-12
1508971935765576,-4,-5,3,3,-2,20,9,-6
1508971935771462,0,-1,-1,7,44,5,-12,-3
1508971935771462,3,-3,1,24,-7,4,14,4
1508971935795534,-2,8,0,-48,-43,-2,3,0
1508971935795534,0,1,-7,-21,-82,-22,-18,-5
1508971935796526,6,8,5,39,54,13,8,5
1508971935796526,-2,-10,0,3,14,-4,-11,-7
1508971935835628,-1,-8,-9,-21,11,8,-3,-5
1508971935835628,2,3,5,-12,-50,-3,2,-3
1508971935836631,-6,3,1,-6,25,1,6,5
1508971935836631,-3,-4,-6,-15,-11,-7,-10,-3
1508971935839678,2,9,1,59,27,-4,-6,-3
1508971935839678,-6,-15,-4,-24,-7,6,3,-2
1508971935840665,8,16,5,20,-5,6,14,1
1508971935840665,0,-1,1,-7,-14,-6,16,6
1508971935846675,0,3,6,-18,45,-2,-24,-1
1508971935846675,-6,-7,-22,-17,-89,-11,2,-5
1508971935853676,2,9,23,23,18,-6,-3,-1
1508971935853676,-8,-7,-46,-9,22,13,-3,-8
1508971935862702,0,-3,14,2,-5,2,6,4
