timestamp,x,y,z
1508971926419018,3.875,-3.25,-1
1508971926434058,4.9375,-0.5625,-2.1875
1508971926456692,9.8125,2.6875,-1
1508971926480351,16.6875,6.625,1.9375
1508971926501882,16.875,12.4375,8.625
1508971926516934,2.375,23.1875,22.75
1508971926539987,-26.5,30.6875,35.6875
1508971926585203,-67.1875,38.0625,45.25
1508971926594228,-100.438,51.25,63.5625
1508971926602284,-62.8125,62.9375,88.25
1508971926622305,12.4375,62.4375,109.313
1508971926638448,61.625,63.4375,120.313
1508971926667671,58.25,75.1875,121.875
1508971926721670,19.5625,86.5625,120.938
1508971926722673,-25.75,88.75,116.125
1508971926722673,-71.125,91.625,122.875
1508971926742170,-59.0625,91.125,146.75
1508971926756438,-53.6875,95.5625,178.75
1508971926779416,-41.3125,98.0625,181.563
1508971926801623,-28.3125,99.5625,182.813
1508971926823923,-41.75,102.75,203.625
1508971926838854,-22.9375,104.438,228.938
1508971926860918,-7.125,128,222.875
1508971926876997,-9.875,140.688,226.688
1508971926906323,25.9375,147.188,237.75
1508971926921349,59.625,146.938,234
1508971926939365,62.0625,145.5,225.063
1508971926959421,49,142.875,214.875
1508971926981841,51.1875,130.688,191.813
1508971926997752,53.875,113.25,165.938
1508971927019074,47.6875,91.375,137
1508971927050051,43.9375,62.8125,112.875
1508971927058042,37.125,43.375,94.5625
1508971927079236,27.875,27.5625,68.5
1508971927101288,24.5,9.375,36.625
1508971927118191,12.75,-4.6875,27.125
1508971927139293,0.8125,-9.5625,20.875
1508971927161317,-7.1875,-10.3125,5.3125
1508971927180357,-4.1875,-12.5,-8
1508971927198405,-7.25,-19.125,-9.5
1508971927221493,-16.4375,-15.8125,-10.25
1508971927237512,-18.8125,-9.5,-19.75
1508971927258566,-16.125,-11.0625,-34.3125
1508971927281626,-29.75,-13.75,-31.8125
1508971927297669,-46.6875,-4.1875,-40.375
1508971927326747,-39.6875,7.6875,-42.3125
1508971927340784,-15.9375,19.5,-39.75
1508971927358834,17,19.875,-32.8125
1508971927378921,12.4375,20.0625,-36.6875
1508971927400974,-1.625,15,-50.0625
1508971927418998,-2.8125,14.625,-58.25
1508971927439079,5.4375,17.4375,-56.625
1508971927461171,9.5,16.1875,-45.25
1508971927484188,-0.75,18.8125,-37
1508971927499242,-12.6875,14,-28.5625
1508971927521299,-12.625,14.0625,-23.375
1508971927544424,-4.75,11.5625,-14.9375
1508971927559463,0.1875,6.25,-2.6875
1508971927581861,-4.4375,-1.125,7
1508971927603955,-0.6875,-4.75,13.125
1508971927619143,0.625,-8.3125,11.875
1508971927641198,-2.5,-15.125,9.625
1508971927664433,-6.0625,-24.0625,7.75
1508971927679410,-9,-32.5,3.875
1508971927702739,-17.3125,-43.375,-9.4375
1508971927723931,-23.0625,-54.375,-29.3125
1508971927741836,-24.75,-57.5625,-48.8125
1508971927763043,-20.8125,-66.625,-64
1508971927783486,-19.3125,-81.6875,-81.5
1508971927801576,-26.3125,-98.25,-100.125
1508971927822771,-26.1875,-109.125,-108.688
1508971927843839,-8.75,-120.625,-110.313
1508971927861898,4.6875,-128.75,-118.813
1508971927883936,9.875,-125.25,-122.375
1508971927903981,17.8125,-120.313,-123.875
1508971927922040,35,-112.625,-119.5
1508971927944099,49.75,-113.5,-117.25
1508971927967226,34.0625,-118.438,-115.813
1508971927982240,12.0625,-111.563,-119.875
1508971928004354,24.3125,-108,-129.563
1508971928024443,50.625,-112.813,-123.875
1508971928049474,19.6875,-120.75,-116.25
1508971928064518,-12,-120.813,-120
1508971928083724,-2.4375,-113.063,-121.75
1508971928101616,12.1875,-103.938,-119.25
1508971928123676,5.25,-100.75,-128.938
1508971928143724,0.375,-99.25,-145.938
1508971928161881,13.9375,-105.688,-158.938
1508971928183938,25.4375,-113.625,-159.938
1508971928204024,35.875,-134.375,-159.438
1508971928222037,24.5625,-61.375,-159.125
1508971928244096,-21.25,20.5625,-115.813
1508971928264432,-103.438,4.9375,-80.3125
1508971928281436,-166.125,-20,-79.8125
1508971928304498,-161.063,-36.625,-101.063
1508971928323691,-38.9375,-35.6875,-103.75
1508971928341593,104.375,-34.5,-70.75
1508971928364654,146.938,-36.75,-48.4375
1508971928383861,111.188,-40,-37.75
1508971928401780,56.0625,-41.375,-20.875
1508971928424848,31.8125,-35.5625,-4.5
1508971928445020,31.5625,-21.5625,10.1875
1508971928461913,5.4375,-1.625,12.875
