timestamp,x,y,z,w
1508971920703434,0.15564,0.491882,0.0158081,-0.856506
1508971920726713,0.154846,0.491577,0.0153809,-0.856812
1508971920741274,0.15448,0.49115,0.0148926,-0.857117
1508971920765558,0.154053,0.490784,0.013916,-0.857483
1508971920786584,0.153198,0.490051,0.0133057,-0.858032
1508971920810702,0.155334,0.488892,0.0144043,-0.858276
1508971920825730,0.164185,0.487183,0.0172729,-0.857544
1508971920869808,0.183777,0.480042,0.0202637,-0.857544
1508971920878907,0.205688,0.469666,0.0216675,-0.858276
1508971920886886,0.225037,0.459106,0.0172729,-0.859253
1508971920907276,0.237366,0.446045,0.00646973,-0.862976
1508971920930428,0.242432,0.429932,-0.00823975,-0.86969
1508971920952848,0.245056,0.411194,-0.0250854,-0.877686
1508971921005884,0.249268,0.391113,-0.0408936,-0.88501
1508971921006838,0.25885,0.369263,-0.0524292,-0.890991
1508971921007841,0.27301,0.346008,-0.0645142,-0.895325
1508971921026890,0.289368,0.322021,-0.081604,-0.897766
1508971921049992,0.307068,0.297119,-0.102112,-0.898376
1508971921064019,0.32489,0.270325,-0.123779,-0.897827
1508971921086047,0.341858,0.240356,-0.147156,-0.896545
1508971921109109,0.357239,0.208435,-0.172302,-0.894043
1508971921124179,0.370056,0.174561,-0.198303,-0.890686
1508971921146234,0.380615,0.139648,-0.224792,-0.886047
1508971921169270,0.38916,0.105835,-0.250977,-0.880005
1508971921191327,0.394348,0.0725708,-0.276794,-0.873291
1508971921206369,0.398438,0.0400391,-0.299683,-0.865967
1508971921228427,0.40332,0.00854492,-0.320679,-0.857056
1508971921243467,0.408386,-0.0200806,-0.340393,-0.846741
1508971921266528,0.412659,-0.0460815,-0.358887,-0.835999
1508971921288591,0.414429,-0.069458,-0.375366,-0.826172
1508971921305637,0.415833,-0.0892334,-0.387756,-0.81781
1508971921329697,0.414063,-0.103088,-0.39624,-0.812988
1508971921348950,0.411316,-0.113647,-0.401855,-0.810242
1508971921363985,0.412231,-0.116516,-0.408752,-0.805908
1508971921386214,0.414246,-0.11438,-0.413696,-0.802673
1508971921409386,0.414124,-0.110413,-0.416382,-0.80188
1508971921424417,0.410706,-0.107117,-0.416931,-0.803772
1508971921446465,0.407593,-0.101501,-0.418335,-0.805359
1508971921469413,0.406494,-0.0925903,-0.419373,-0.806458
1508971921484459,0.406067,-0.081604,-0.417358,-0.808899
1508971921506861,0.404602,-0.0707397,-0.412964,-0.812927
1508971921538055,0.402283,-0.0588379,-0.40741,-0.81781
1508971921544175,0.402161,-0.0449829,-0.400818,-0.82196
1508971921566481,0.403931,-0.0299683,-0.389832,-0.827087
1508971921589421,0.407593,-0.0164185,-0.375488,-0.832275
1508971921606443,0.410828,-0.00354004,-0.360657,-0.837402
1508971921626489,0.416199,0.0090332,-0.347168,-0.840332
1508971921648695,0.423828,0.0195923,-0.334534,-0.841492
1508971921671708,0.429443,0.0236816,-0.323547,-0.842834
1508971921686679,0.43512,0.0234375,-0.3172,-0.842346
1508971921708846,0.439697,0.0239258,-0.31604,-0.840393
1508971921731798,0.44397,0.0244751,-0.316711,-0.83783
1508971921747997,0.446167,0.0234375,-0.318359,-0.83606
1508971921770056,0.443359,0.0192871,-0.320862,-0.836731
1508971921791112,0.438538,0.013916,-0.323853,-0.838257
1508971921806152,0.435608,0.00952148,-0.326599,-0.838806
1508971921829292,0.432922,0.0057373,-0.328125,-0.8396
1508971921851296,0.429443,0.00140381,-0.329102,-0.841003
1508971921866389,0.427612,-0.0020752,-0.330933,-0.841248
1508971921889375,0.426086,-0.0043335,-0.333801,-0.84082
1508971921911477,0.4245,-0.00640869,-0.336487,-0.840576
1508971921926641,0.422607,-0.00848389,-0.338684,-0.840637
1508971921948955,0.421326,-0.0098877,-0.341125,-0.840271
1508971921971880,0.420166,-0.0102539,-0.344055,-0.839661
1508971921987918,0.418518,-0.00964355,-0.346924,-0.839294
1508971922008983,0.415894,-0.0090332,-0.349304,-0.839661
1508971922027026,0.413391,-0.00799561,-0.350769,-0.840271
1508971922048300,0.411011,-0.00634766,-0.351563,-0.841125
1508971922069434,0.408447,-0.00366211,-0.351318,-0.842468
1508971922091525,0.405334,0.000793457,-0.349915,-0.844604
1508971922109623,0.401611,0.00671387,-0.347229,-0.847473
1508971922128815,0.397522,0.0136719,-0.343445,-0.85083
1508971922151877,0.3927,0.0221558,-0.338806,-0.854736
1508971922168777,0.38678,0.0337524,-0.333435,-0.859131
1508971922190060,0.379883,0.0487671,-0.327576,-0.86377
1508971922211997,0.371521,0.065979,-0.320801,-0.868774
