timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508972198038278,-3,-4,-1,-12,-9,-1,-2,-3
1508972198038278,-3,-5,-6,-7,23,-4,-4,-2
1508972198039281,-4,-2,-3,3,-55,-8,-2,-5
1508972198039281,0,1,1,-4,26,1,1,3
1508972198040284,0,1,1,7,-9,0,5,2
1508972198040284,-2,-4,-5,1,26,5,-4,-2
1508972198043366,-1,-1,-2,-12,36,8,-3,0
1508972198043366,-1,1,2,14,-70,-6,0,0
1508972198050385,0,-1,1,-2,11,6,0,-1
1508972198050385,-4,10,4,-8,-29,-14,-1,-1
1508972198059369,1,-2,1,9,25,6,-1,0
1508972198059369,2,10,-1,-13,25,4,-3,-1
1508972198066391,0,-4,-4,-8,1,-11,0,2
1508972198066391,-2,-8,-1,15,15,20,-3,-6
1508972198081428,-2,6,2,6,1,-6,0,-3
1508972198081428,-2,-2,0,10,20,-2,0,6
1508972198088411,0,-2,-4,-20,-52,-10,-1,-1
1508972198088411,2,-2,-4,-19,-31,-20,-5,1
1508972198103508,0,-9,-5,-6,-3,9,-4,-4
1508972198103508,0,3,6,14,60,11,0,-4
1508972198111533,-1,-2,3,21,12,12,3,2
1508972198111533,4,5,4,3,7,1,2,4
1508972198124707,-9,-1,-5,-3,-20,-3,-6,-5
1508972198124707,-11,-26,-4,-17,-35,-20,1,-1
1508972198167679,3,2,-3,-10,-99,-14,-3,-2
1508972198167679,-4,-4,-6,-14,4,-6,-4,-3
1508972198170687,0,4,3,11,14,15,10,11
1508972198170687,-2,2,0,12,73,9,-5,5
1508972198171693,-3,3,3,-15,-65,-5,-4,-17
1508972198171693,-3,-14,-5,10,-2,-10,4,1
1508972198172696,6,32,16,5,27,11,-5,-10
1508972198172696,-2,-3,-3,2,14,7,-1,9
1508972198177848,5,8,2,-6,34,-5,7,4
1508972198177848,-20,-39,-16,-19,-54,-3,-9,-7
1508972198186096,3,-1,2,-2,34,-14,-2,-2
1508972198186096,-4,13,19,30,-54,13,9,-4
1508972198192101,-5,1,-5,5,70,15,-2,-7
1508972198192101,5,30,14,-6,0,-4,0,11
1508972198207177,-11,-32,-22,-18,16,-9,-9,-4
1508972198207177,7,16,7,9,-78,-17,-2,-3
1508972198215362,-2,-16,-1,4,30,0,1,6
1508972198215362,1,-18,-6,0,8,16,8,-1
1508972198238283,-3,-13,2,-17,-21,-12,-9,-5
1508972198238283,-4,-5,-10,-25,-26,-8,8,0
1508972198239280,-5,31,20,16,4,9,-6,-1
1508972198239280,5,-2,-5,3,30,0,-6,11
1508972198253318,3,11,11,13,-6,4,-15,9
1508972198253318,-5,-29,-4,-11,3,5,17,-7
1508972198254318,-12,-35,-35,10,15,0,10,1
1508972198254318,1,42,29,-17,-8,-6,3,-4
