timestamp,x,y,z
1508972088553012,-1.875,-3.375,0.6875
1508972088576634,8.875,0.25,0.625
1508972088593201,29.4375,-0.3125,1.5625
1508972088613293,19.875,1.75,1.6875
1508972088636495,4.1875,3.0625,3.5
1508972088651458,-1,9.3125,8.375
1508972088702664,5.5625,17.6875,13.75
1508972088713734,6.6875,30.25,29.625
1508972088726690,0.5625,54.8125,49.125
1508972088733829,-5.1875,76.75,67.5625
1508972088749017,-4.375,96.375,87.125
1508972088771237,-18.75,120.875,99.5625
1508972088815495,-52.3125,143.063,105.75
1508972088825528,-54.5625,159.625,119.563
1508972088831434,-40.6875,170.5,145.125
1508972088846472,-13.4375,180.938,160.5
1508972088869503,5.75,194.25,170.375
1508972088898852,-19,201.25,177.313
1508972088921177,-11.3125,213.188,196.688
1508972088937114,-7.8125,225.375,203.438
1508972088960176,24.1875,246.813,176.063
1508972088974330,62.1875,280.375,178.625
1508972088997594,102.938,308,196.25
1508972089020657,94,305.938,180.063
1508972089033819,87.5,292.125,165.875
1508972089057755,103.688,265.188,161.688
1508972089079848,91.875,206.5,137.563
1508972089101905,37.875,147,103.25
1508972089116915,1.6875,95.1875,83.125
1508972089139999,-22.1875,48.75,67.4375
1508972089161387,-26.8125,19.375,44.125
1508972089177385,2.6875,3.25,15.375
1508972089199470,-7.0625,-15.125,8.75
1508972089220522,-57.5,-26.875,9.5625
1508972089237550,-75,-28.75,-1.625
1508972089259660,-47.5625,-14.1875,-23.6875
1508972089280933,-22.125,-7,-36.5
1508972089297069,-8.25,-9.875,-33.5
1508972089310211,-13.5625,-12.875,-34.5625
1508972089341422,-2.9375,-7.375,-46.0625
1508972089357611,33.875,-3.25,-56.125
1508972089379703,86.9375,-8.0625,-69.25
1508972089401082,170.563,-9.625,-96.1875
1508972089417006,236.313,-8.1875,-95.3125
1508972089440038,254.563,10.5625,-86
1508972089461390,209.688,47.75,-60.875
1508972089477604,177,81.625,-38.9375
1508972089499659,193.688,95.125,-34.4375
1508972089520752,172.563,110.625,-26.9375
1508972089537761,132.563,107.563,-9.375
1508972089559819,118.813,88.125,13.375
1508972089580874,74,60.9375,28.6875
1508972089602931,30.0625,42.25,31.0625
1508972089619977,12.875,15.6875,38.1875
1508972089641056,-3.125,-2.3125,42.75
1508972089657076,-36.75,-19.5,34
1508972089680138,-44.75,-32,20.8125
1508972089701194,-50.125,-35,11.4375
1508972089716234,-59.375,-34.5625,1.6875
1508972089746314,-72.375,-32.75,-4.5
1508972089760351,-77.5625,-37.75,-11.0625
1508972089776394,-87.125,-44.125,-10.1875
1508972089805472,-97.5,-51.1875,-12.25
1508972089822520,-116.25,-60.625,-17.75
1508972089844576,-128,-76.5,-21.875
1508972089865630,-131.688,-86,-19.375
1508972089882676,-137.5,-96,-18.375
1508972089905801,-148.25,-113.375,-27.0625
1508972089925912,-160.188,-135.563,-35.125
1508972089942040,-160.063,-139.75,-46.25
1508972089965127,-149.125,-139.063,-61.9375
1508972089986202,-148.813,-147.313,-63.5
1508972090002204,-149.063,-153.625,-62.5625
1508972090024303,-155.625,-154.813,-67.75
1508972090046333,-163.938,-153.063,-77.25
1508972090062360,-150.688,-143.813,-95.125
1508972090084442,-123.438,-140.75,-122.313
1508972090107502,-112.563,-126.125,-109.313
1508972090122605,-108,-103.875,-105.188
1508972090144871,-47.5,-83.5625,-131.25
1508972090166067,26.625,-70.375,-139.188
1508972090181969,37,-71.1875,-127.375
