timestamp,x,y,z,w
1508972201087485,-0.0750122,0.471497,-0.38916,-0.787842
1508972201109794,-0.0620728,0.468933,-0.391602,-0.789246
1508972201134122,-0.0469971,0.463257,-0.3974,-0.790771
1508972201149163,-0.0291138,0.454651,-0.406555,-0.791992
1508972201170219,-0.00750732,0.442566,-0.418579,-0.79303
1508972201194291,0.0153198,0.428772,-0.433105,-0.792725
1508972201238401,0.0380859,0.412109,-0.450195,-0.79126
1508972201247424,0.0613403,0.391724,-0.466858,-0.790527
1508972201255445,0.0896606,0.369995,-0.480591,-0.790039
1508972201271488,0.122131,0.347839,-0.493835,-0.787598
1508972201291541,0.153687,0.324768,-0.508667,-0.782471
1508972201320623,0.183228,0.300781,-0.524963,-0.774902
1508972201374763,0.21228,0.27533,-0.54071,-0.766052
1508972201375765,0.237549,0.246338,-0.554199,-0.758789
1508972201376768,0.260925,0.215393,-0.566162,-0.751709
1508972201388800,0.284485,0.185974,-0.577026,-0.742676
1508972201409856,0.308167,0.159607,-0.587402,-0.73114
1508972201431914,0.328308,0.135681,-0.599121,-0.71759
1508972201449962,0.342773,0.111877,-0.60907,-0.706421
1508972201470016,0.351746,0.0891724,-0.616272,-0.698975
1508972201492105,0.354675,0.0700684,-0.620667,-0.695801
1508972201510123,0.352905,0.0516357,-0.623718,-0.695557
1508972201530205,0.351868,0.0371094,-0.624939,-0.695923
1508972201552261,0.352966,0.0263672,-0.622925,-0.697693
1508972201570283,0.354492,0.015625,-0.618896,-0.700806
1508972201589333,0.354248,0.00354004,-0.61499,-0.704529
1508972201613397,0.35144,-0.0125122,-0.61438,-0.70636
1508972201637461,0.339844,-0.0286255,-0.621887,-0.705017
1508972201649494,0.326355,-0.0391235,-0.635498,-0.69873
1508972201672555,0.304565,-0.0396729,-0.652039,-0.693237
1508972201690602,0.280518,-0.0349121,-0.663513,-0.692749
1508972201709733,0.258362,-0.0318604,-0.665527,-0.699585
1508972201732967,0.240601,-0.039856,-0.659058,-0.711487
1508972201749988,0.225037,-0.0519409,-0.65448,-0.719971
