timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1508972321272270,2,6,7,24,33,7,5,3
1508972321272270,0,-2,-5,-19,52,13,-2,-1
1508972321273269,-4,-4,-10,-31,-102,-29,-6,-5
1508972321273269,4,3,3,-9,35,-25,8,4
1508972321275400,8,6,6,27,59,41,10,13
1508972321275400,-4,-6,3,22,-39,-15,-12,-3
1508972321276279,-5,1,-2,-13,40,9,-8,-7
1508972321276279,-12,-8,-7,-10,23,-13,-27,-21
1508972321283364,-3,-6,-5,-13,-104,-15,-6,-7
1508972321283364,6,8,5,20,44,4,12,8
1508972321290387,5,2,-3,-15,7,7,12,12
1508972321290387,-1,0,2,-4,-77,-3,26,23
1508972321297529,-3,1,-9,-30,42,15,-26,-33
1508972321297529,-12,-8,-3,23,-22,-8,-20,-15
1508972321327994,2,1,1,13,23,3,1,1
1508972321327994,7,6,7,0,-65,3,18,12
1508972321328997,4,4,2,-10,4,-38,3,16
1508972321328997,-4,-6,-17,-32,-44,12,-11,-13
1508972321335047,1,0,4,22,109,25,-4,1
1508972321335047,-2,-5,-10,-7,88,2,-13,-2
1508972321342237,-4,-3,-3,-31,-105,-22,11,-1
1508972321342237,4,9,18,25,33,-3,0,-1
1508972321389708,-4,-6,-8,-33,-7,-9,-5,-2
1508972321389708,-3,-2,-10,-47,-72,-31,-2,-2
1508972321389708,4,3,-3,5,22,19,6,2
1508972321389708,-2,3,17,48,74,17,2,-1
1508972321390711,5,3,1,8,-62,-7,4,5
1508972321390711,-3,-7,-7,-55,-44,-13,-8,-3
1508972321393852,-3,-2,-1,35,44,6,1,-4
1508972321393852,0,-1,-5,-22,24,2,-1,-2
1508972321401884,2,4,11,-9,-6,-1,-9,-1
1508972321401884,3,4,14,38,-55,5,2,0
1508972321410764,-10,-9,-18,-66,64,-7,2,1
1508972321410764,-1,-3,-4,11,-37,28,-1,-2
1508972321417053,5,6,17,42,-57,-33,1,6
1508972321417053,-5,-5,-28,-5,96,39,7,-3
1508972321433064,-3,-1,12,9,-24,-17,-1,-2
1508972321433064,-5,-10,-22,-12,88,21,-12,-4
1508972321439110,7,18,36,72,2,26,18,-1
1508972321439110,5,0,12,10,107,-5,0,9
1508972321462453,-7,-7,8,10,-97,-10,-10,-10
1508972321462453,-4,-6,-24,-119,62,-38,-16,-8
1508972321463361,-16,-18,-46,32,102,37,-18,-13
1508972321463361,15,20,39,127,7,114,43,19
1508972321477395,2,2,8,-92,63,-28,11,5
1508972321477395,-9,-11,-23,-44,31,-28,-36,-17
1508972321478364,2,3,21,73,38,21,5,-1
1508972321478364,8,15,29,87,82,-30,-12,-5
1508972321499454,-25,-33,-13,-16,13,17,-6,-1
1508972321499454,14,-10,-22,-83,-100,-65,33,12
1508972321500423,-20,-18,-53,-128,-17,-41,-11,-8
1508972321500423,-1,10,36,68,75,56,31,-4
1508972321522486,35,37,33,36,-3,-8,-7,9
