timestamp,x,y,z
1508972328024364,-14.6875,2,5.625
1508972328046925,-23.375,5.5,6.375
1508972328061969,-31.25,11.8125,12.8125
1508972328086541,-53.5,22.0625,22.875
1508972328106210,-81.75,39.0625,37.3125
1508972328122223,-97.1875,53.9375,55.25
1508972328145284,-69.25,60.875,74.4375
1508972328199889,-4.5,60.625,91.625
1508972328199889,35,63.5625,104.813
1508972328209918,48.3125,68.75,124.5
1508972328227148,46.5,83.0625,146.938
1508972328243112,25.0625,100.25,162.563
1508972328274199,-35.3125,118.125,185.5
1508972328319342,-85.5625,125.938,194.125
1508972328320317,-77.625,129,204.375
1508972328327342,-24.8125,123.563,227.25
1508972328347389,23.25,131.313,239.25
1508972328362429,40.1875,134.5,248.875
1508972328393514,34.375,135.063,249
1508972328414568,39.625,146.563,249.188
1508972328430611,41.0625,153.125,247.375
1508972328453672,42.75,155.75,238.938
1508972328474730,39.9375,158.625,229.313
1508972328490773,35.4375,152.375,225.625
1508972328514835,39.75,141.563,211.625
1508972328534890,18.75,112.188,196.938
1508972328550930,4.9375,77.5625,180.813
1508972328573066,-12.0625,41.6875,143.375
1508972328595061,-22.4375,16.75,95.5
1508972328611109,-32.4375,0.1875,50.5625
1508972328633186,-33.6875,-8.8125,15.25
1508972328654242,-32.25,-10,-6.1875
1508972328671258,-32.8125,-13.3125,-17.4375
1508972328693315,-26.3125,-15.75,-25.5
1508972328714516,-24.8125,-17.125,-24.75
1508972328731412,-17.75,-17.125,-22.125
1508972328753471,-4.3125,-11.0625,-16.9375
1508972328774554,8.0625,-5.5625,-14.8125
1508972328797587,11,0.75,-25.1875
1508972328814632,13.3125,21.625,-39.5
1508972328834717,5.5,45.6875,-34.5625
1508972328850743,16.875,40.6875,-35.9375
1508972328873934,40.5625,62.625,-31.5625
1508972328895052,51.4375,102,-37.6875
1508972328910025,60.875,129,-58.5625
1508972328933131,62.5,114.75,-69.0625
1508972328954143,71.5,94.6875,-80.75
1508972328970189,39.625,69.5,-45
1508972328993247,39.5,54.3125,-0.3125
1508972329014323,34.8125,42.9375,3.0625
1508972329030345,18.5,20.875,-6.6875
1508972329053406,5.9375,3.3125,3.8125
1508972329074552,2.1875,-4.375,10.375
1508972329090596,-5.375,-4.4375,8.125
1508972329113567,-10.25,-1.5625,3.125
1508972329136631,-11.0625,3.9375,-0.3125
1508972329150686,-17.25,13.0625,-7.125
1508972329173727,-24.625,21.75,-11
1508972329195789,-28,32.9375,-15.4375
1508972329217039,-18.0625,36.1875,-23.25
1508972329233928,-5.6875,25.25,-31.1875
1508972329255991,-9.125,-6.875,-43.5625
1508972329277049,-39.3125,-43.5,-35.0625
1508972329299449,-45.875,-67.375,-29.5625
1508972329316346,-38.875,-76.5625,-5.6875
1508972329338405,-8.5,-70.4375,11.375
1508972329367705,-20,-47.125,13.875
1508972329375733,-20.5,-16.0625,-1.75
1508972329398768,2.5625,1.4375,-19.0625
1508972329419861,6.375,9.8125,-24.8125
1508972329435859,9.8125,12.625,-19.25
1508972329458943,16.5,17.6875,-14.9375
1508972329480180,30,34.8125,-12.3125
1508972329495210,51.75,58.875,-7.875
1508972329518356,61.0625,67.5,-7.125
1508972329539399,70.375,47.25,-2.625
1508972329555445,48.25,-18.9375,-17.875
1508972329578506,16.3125,-76.1875,-56.5
1508972329600609,34,-68.5,-101.125
1508972329615602,68.875,2.9375,-136.563
1508972329645706,67,63.6875,-114.5
1508972329661851,33.25,53.25,-62.0625
1508972329682050,10.4375,12.625,-18.4375
1508972329698985,8.8125,-15.3125,0
1508972329722193,-4.9375,-33,5.1875
1508972329742403,-2.0625,-40.75,7.6875
1508972329758344,3.8125,-43.875,2.4375
1508972329781538,6.375,-45,-4.8125
1508972329806803,8.5625,-44,-8
1508972329810870,12.6875,-40.875,-11.375
1508972329832225,13.4375,-43.1875,-19.625
1508972329848219,11.375,-54.9375,-22.1875
1508972329870255,14.375,-64.25,-24.8125
1508972329893317,14.75,-75.0625,-28.3125
1508972329908366,19.3125,-86.875,-38.625
1508972329930414,-8.6875,-106.813,-58
1508972329954509,-34.6875,-121,-42
1508972329974582,-11.875,-130.125,-24.375
1508972329990575,9.8125,-129.75,-24.75
1508972330013817,-2.1875,-126.875,-54.625
1508972330035133,-15.375,-117.813,-52.75
1508972330050157,2.3125,-117.063,-49.625
1508972330073315,19.75,-105.938,-46.875
1508972330094320,17.8125,-105.375,-73.4375
1508972330118411,-3.4375,-100.438,-113.438
1508972330133419,-8.5625,-85.8125,-134.563
1508972330156484,21.4375,-89.3125,-116.063
1508972330170515,46.75,-96.25,-108.188
1508972330199926,23.6875,-103.25,-121.313
1508972330215061,-17.8125,-108.063,-146.25
1508972330230134,-52.125,-110.813,-152.75
1508972330253278,-24.6875,-107.75,-138.313
1508972330274372,17.75,-109.313,-118.188
1508972330290348,21.75,-113.125,-124.813
1508972330313426,-3.6875,-131.375,-143.375
1508972330334490,-26.625,-140.25,-154.563
1508972330350507,-13.75,-134.688,-152.688
1508972330373703,-8.25,-122.313,-143.188
1508972330395006,-14.25,-115.938,-142.875
1508972330409932,-44.625,-85.375,-128.813
1508972330433957,-41.375,-35.75,-101.563
1508972330455038,-13.4375,-28.125,-62.25
1508972330478232,36.3125,7.625,-19.5
1508972330494116,40.875,4.8125,18.125
1508972330515197,28.625,-5,-3.625
1508972330530233,18.4375,-0.125,-14.1875
1508972330553296,26.375,-7.9375,-8.375
1508972330574374,41.3125,-12.875,-0.125
1508972330590400,50.25,-17.5625,13.5
