timestamp,x,y,z,w
1508972269097052,-0.103271,0.46698,-0.367432,-0.797668
1508972269112078,-0.10437,0.467957,-0.368408,-0.796509
1508972269137145,-0.105957,0.468811,-0.368286,-0.795837
1508972269157211,-0.10614,0.469666,-0.367126,-0.795898
1508972269172244,-0.105286,0.470581,-0.365906,-0.796021
1508972269195472,-0.104797,0.471008,-0.365234,-0.796143
1508972269249747,-0.104919,0.470764,-0.365051,-0.796326
1508972269250755,-0.104431,0.470032,-0.364868,-0.796936
1508972269259780,-0.102539,0.46991,-0.363953,-0.797668
1508972269277103,-0.0990601,0.470154,-0.362061,-0.798828
1508972269301365,-0.0950317,0.470581,-0.359985,-0.799988
1508972269324418,-0.0913696,0.471069,-0.358459,-0.800842
1508972269369580,-0.088562,0.47113,-0.357666,-0.801453
1508972269370541,-0.0872803,0.471069,-0.357117,-0.80188
1508972269377584,-0.086731,0.470703,-0.355469,-0.802856
1508972269397789,-0.0855713,0.470276,-0.35199,-0.80481
1508972269427865,-0.0841675,0.470032,-0.347961,-0.806824
1508972269443995,-0.081665,0.46936,-0.345642,-0.808472
1508972269465191,-0.0740356,0.469849,-0.341858,-0.810486
1508972269481225,-0.0616455,0.470642,-0.33783,-0.812805
1508972269504273,-0.0432739,0.469727,-0.337524,-0.814636
1508972269525388,-0.0261841,0.464844,-0.344543,-0.815186
1508972269541371,-0.012146,0.456299,-0.35553,-0.815674
1508972269564458,0.00500488,0.445923,-0.36615,-0.816772
1508972269585512,0.0283203,0.434509,-0.375854,-0.818054
1508972269601533,0.0584717,0.423401,-0.385376,-0.817871
1508972269623628,0.0914307,0.410706,-0.396606,-0.815918
1508972269645651,0.121887,0.395813,-0.410034,-0.812622
1508972269661694,0.14856,0.376892,-0.427307,-0.808289
1508972269683786,0.174377,0.353333,-0.448608,-0.802185
1508972269704837,0.201721,0.327454,-0.47168,-0.793518
1508972269721853,0.230347,0.299377,-0.494812,-0.782593
1508972269743913,0.264648,0.272888,-0.514587,-0.768616
1508972269765004,0.30426,0.247681,-0.533691,-0.749207
1508972269781047,0.338684,0.218628,-0.554749,-0.727844
1508972269804196,0.364197,0.185059,-0.575195,-0.70874
1508972269825409,0.380859,0.151001,-0.593628,-0.692688
1508972269841334,0.394836,0.117737,-0.612732,-0.674377
1508972269864354,0.412231,0.0874023,-0.629944,-0.652405
1508972269885543,0.431458,0.0604858,-0.643066,-0.629822
1508972269901477,0.447449,0.0342407,-0.655029,-0.60791
1508972269924554,0.458496,0.00708008,-0.66687,-0.587402
1508972269945608,0.467773,-0.0184937,-0.67749,-0.567383
1508972269960608,0.476013,-0.038208,-0.685791,-0.549194
1508972269983695,0.482483,-0.0535278,-0.69165,-0.53479
1508972270004768,0.486694,-0.0593262,-0.695801,-0.524841
1508972270020774,0.488586,-0.0549316,-0.700195,-0.517761
1508972270043867,0.488953,-0.0463867,-0.70343,-0.513794
1508972270065047,0.488403,-0.0390625,-0.705078,-0.512634
1508972270080930,0.487488,-0.0317383,-0.706238,-0.512451
1508972270103993,0.486206,-0.0244751,-0.707703,-0.512085
1508972270125405,0.48468,-0.0171509,-0.709106,-0.511902
1508972270147338,0.483032,-0.0120239,-0.710449,-0.511719
1508972270164351,0.480896,-0.010376,-0.711548,-0.512207
1508972270186409,0.477905,-0.00891113,-0.713074,-0.512939
1508972270200559,0.474426,-0.00720215,-0.715088,-0.513428
1508972270223656,0.46991,-0.00732422,-0.716736,-0.515259
1508972270246687,0.465698,-0.00958252,-0.717224,-0.518311
1508972270260721,0.46228,-0.0137329,-0.714172,-0.525452
1508972270283783,0.461487,-0.0178833,-0.705505,-0.537598
1508972270306844,0.463745,-0.0246582,-0.692322,-0.552307
1508972270327987,0.471619,-0.0339355,-0.673828,-0.56781
1508972270350482,0.485413,-0.0407715,-0.649902,-0.583435
1508972270366403,0.498657,-0.0481567,-0.624329,-0.599426
1508972270388681,0.508362,-0.0612183,-0.599182,-0.615479
1508972270409719,0.515076,-0.0749512,-0.577026,-0.629456
1508972270426849,0.522461,-0.0838013,-0.55896,-0.638489
1508972270448985,0.525391,-0.0888672,-0.546326,-0.64624
1508972270470219,0.523254,-0.0952759,-0.539124,-0.653076
1508972270485585,0.519592,-0.100586,-0.536377,-0.657471
1508972270508611,0.517212,-0.101501,-0.536072,-0.659424
1508972270529662,0.514587,-0.0986328,-0.536865,-0.661316
1508972270545688,0.511169,-0.0964355,-0.538452,-0.662964
1508972270568750,0.506287,-0.0945435,-0.541138,-0.664795
1508972270589972,0.501648,-0.0917969,-0.544434,-0.666016
1508972270606059,0.496948,-0.0880737,-0.547729,-0.667358
